CumulativeMethodScore,CumulativeTaskScore,CumulativeMethodTaskPairScore
4.2924426435602e-06,0.0,4.2924426435602e-06
6.094117233273813e-06,7.589662972206574e-06,1.7881393432617188e-05
5.57280629380324e-06,0.0,1.0527395180686434e-05
9.508977906911941e-07,0.0,3.7886231540279643e-06
9.332425530631678e-06,0.0,9.332425530631678e-06
0.0,1.4432440586358106e-06,3.5683094209054974e-06
0.0,0.0,0.0
2.0720137295589274e-06,1.8233708976615928e-06,4.8973499197701087e-05
2.597514514866768e-06,5.96445728642456e-07,2.8458805134463e-05
5.643177087171187e-06,3.2275067825249748e-06,1.9943726817221658e-05
5.9601987838966585e-06,3.971872532319676e-07,1.8660877701599457e-05
2.0573826063816576e-06,0.0,6.046691216951235e-06
0.0,9.383854502884075e-06,1.6527700931120687e-05
1.7636056621727836e-06,7.87281937274696e-07,6.026693181127338e-06
0.0,0.0,0.0
0.0,0.0,0.0
2.1211961642297528e-06,0.0,9.027689922230023e-06
1.3088308609639874e-06,4.651633616575075e-06,5.9604644775390625e-06
0.0,0.0,0.0
0.0,2.1520069749317544e-06,9.976732340880046e-06
2.5067393476455714e-06,3.8543548930189656e-06,4.3905808738230804e-05
4.180249758544084e-06,3.4616625410006016e-06,3.450525162314126e-05
4.850032941774082e-07,0.0,1.1327298464059052e-06
6.793216025956155e-06,0.0,9.217929572505327e-06
0.0,0.0,0.0
1.2385577487870147e-06,0.0,5.178455595927014e-06
0.0,0.0,0.0
2.3659835403577286e-06,1.18144342281597e-05,6.073757736847959e-05
2.207411405015155e-06,0.0,1.692298033161163e-05
2.893674880429104e-06,5.712012567328095e-07,3.679137786472807e-05
4.384620529534497e-06,3.6062942887136813e-06,1.762536348447555e-05
0.0,1.790403600606093e-06,4.365152770276652e-06
0.0,0.0,0.0
4.327157906109581e-06,3.796885524484272e-06,8.124043430593854e-06
0.0,4.240022706294104e-06,2.2564516700283447e-05
0.0,0.0,0.0
8.353166349155767e-06,1.0685237784789644e-06,7.372495707202168e-05
2.1777629652954137e-06,0.0,0.0
1.053513083930536e-06,0.0,7.180977144619201e-06
3.1175304290563145e-06,4.543864161139365e-06,1.3553279134622497e-05
1.6744023473083418e-06,0.0,3.61440800936697e-06
3.667860937883386e-07,4.177596420591364e-06,3.300171160253146e-05
0.0,0.0,0.0
2.784220378913013e-06,1.5686743616004877e-06,9.810977016211636e-06
3.2447882667296633e-07,2.109816040697823e-06,1.237079196445768e-05
0.0,0.0,0.0
1.981421051922897e-06,0.0,4.121498533162592e-06
0.0,0.0,0.0
4.760419358201255e-06,9.244322733221297e-06,2.1415388604054084e-05
5.193823036407355e-06,3.822575117792923e-07,3.195114901003238e-05
0.0,1.6035934754715002e-06,7.545234340788515e-06
4.819293950892545e-07,0.0,2.3171823097129893e-06
1.4171506846973023e-06,8.368160009552404e-07,7.058300170902038e-06
1.7070332800884204e-06,0.0,7.364445194335077e-06
1.752700983801248e-06,0.0,2.8938797414796896e-06
6.089044588526612e-06,0.0,1.993095921882889e-05
0.0,0.0,0.0
3.3193307462943516e-06,0.0,2.0038354568704445e-05
2.1746753328173207e-06,0.0,0.0
3.190852150286286e-06,0.0,2.3284293596484577e-05
2.094194350521273e-06,0.0,8.607493752429187e-06
0.0,1.9072546645240767e-06,0.0
0.0,0.0,0.0
2.082700390983189e-06,9.437542235898017e-07,1.788727965111559e-05
1.1544533734072156e-06,2.889430256345481e-06,3.2628349609449856e-05
0.0,0.0,0.0
1.216516430391596e-06,0.0,3.0334944329425804e-06
5.444230971317627e-06,7.519373881688926e-06,1.3486283345461629e-05
1.4418181043767934e-05,0.0,1.37258082985895e-05
