Metric,Value
Welch t-test p,0.0028068451079992134
Mann-Whitney U p,0.00014323690658801764
AUC (ROC),0.5648003430392777
AUC 95% CI lo,0.5343019286758052
AUC 95% CI hi,0.5976512861423411
PR-AUC,0.8846281935574053
Cohen's d,0.1752705422193801
TPR@FPR=1%,0.009708737864077669
TPR@FPR=5%,0.05917706888580675
TPR@FPR=10%,0.1423948220064725
Precision@1%,0.84
Lift@1%,0.9685436893203884
Precision@5%,0.888
Lift@5%,1.0238890429958392
Precision@10%,0.8835341365461847
Lift@10%,1.018739776489221
Precision@20%,0.8957915831663327
Lift@20%,1.0328729581215135
