id,title,year,field,B1_tfidf_dist,B1_bm25_negmax
R0,A Meta-Learning Algorithm for Interrogative Agendas,0,ALL,0.7991296559986225,-221.99000144922957
R1,Contrast with Major Classifier Vectors for Federated Medical Relation Extraction with Heterogeneous Label Distribution,0,ALL,0.8936001222699915,-150.10822634216586
R2,Counterexample Guided Abstraction Refinement with Non-Refined Abstractions for Multi-Agent Path Finding,0,ALL,0.777284230441164,-166.5584447056788
R3,NeSIG: A Neuro-Symbolic Method for Learning to Generate Planning Problems,0,ALL,0.8197914232711567,-173.2429668150814
R4,Generalized Planning as Heuristic Search: A new planning search-space that leverages pointers over objects,0,ALL,0.8403652759934537,-270.61372552999455
R5,Context Matters: A Strategy to Pre-train Language Model for Science Education,0,ALL,0.8661302272804559,-209.35103309796267
R6,HeroNet: A Hybrid Retrieval-Generation Network for Conversational Bots,0,ALL,0.8732179609291866,-149.23275768545813
R7,BERT-based Authorship Attribution on the Romanian Dataset called ROST,0,ALL,0.8640390908037318,-116.98569120412174
R8,Purposeful and Operation-based Cognitive System for AGI,0,ALL,0.8807603506195546,-136.47986781286068
R9,"Multimodality Representation Learning: A Survey on Evolution, Pretraining and Its Applications",0,ALL,0.8040575054856208,-213.0438574407994
R10,MetaTKG: Learning Evolutionary Meta-Knowledge for Temporal Knowledge Graph Reasoning,0,ALL,0.8634637398841094,-198.55494719535258
R11,DOR: A Novel Dual-Observation-Based Approach for News Recommendation Systems,0,ALL,0.8722893172493602,-183.94798587082244
R12,"Describe, Explain, Plan and Select: Interactive Planning with Large Language Models Enables Open-World Multi-Task Agents",0,ALL,0.8397525259858407,-197.92776044882493
R13,"Learning Zero-Shot Cooperation with Humans, Assuming Humans Are Biased",0,ALL,0.82680326287769,-189.98071867093662
R14,Towards Understanding the Effects of Evolving the MCTS UCT Selection Policy,0,ALL,0.8500426279453309,-208.12853297354397
R15,Explaining with Greater Support: Weighted Column Sampling Optimization for q-Consistent Summary-Explanations,0,ALL,0.8926569725219033,-151.38605863580034
R16,A Biomedical Knowledge Graph for Biomarker Discovery in Cancer,0,ALL,0.866839743455307,-221.94501253079463
R17,GeoFault: A well-founded fault ontology for interoperability in geological modeling,0,ALL,0.8590609502880433,-246.74784875374453
R18,Knowledge Graph Completion based on Tensor Decomposition for Disease Gene Prediction,0,ALL,0.8909531134323303,-158.25742288451022
R19,VITAL: Vision Transformer Neural Networks for Accurate Smartphone Heterogeneity Resilient Indoor Localization,0,ALL,0.8543144747489766,-111.8985535055414
R20,Unreliable Partial Label Learning with Recursive Separation,0,ALL,0.8457841644583473,-228.67243597603763
R21,Label Information Enhanced Fraud Detection against Low Homophily in Graphs,0,ALL,0.8419102953337507,-184.45410439865944
R22,Adaptive Discretization using Voronoi Trees for Continuous POMDPs,0,ALL,0.8707299041857539,-226.4478928050671
R23,Reusable Slotwise Mechanisms,0,ALL,0.8963664436706373,-134.8477043152955
R24,Dual Policy Learning for Aggregation Optimization in Graph Neural Network-based Recommender Systems,0,ALL,0.8564221639435389,-165.65735338050646
R25,DNG: Taxonomy Expansion by Exploring the Intrinsic Directed Structure on Non-gaussian Space,0,ALL,0.8739260949355115,-187.80025257295011
R26,KGTrust: Evaluating Trustworthiness of SIoT via Knowledge Enhanced Graph Neural Networks,0,ALL,0.8633216672407947,-204.0702547893731
R27,Explorative analysis of human disease-symptoms relations using the Convolutional Neural Network,0,ALL,0.8530997198270096,-169.1950275389536
R28,Towards Computationally Efficient Responsibility Attribution in Decentralized Partially Observable MDPs,0,ALL,0.8569190481118,-207.53255088544773
R29,Towards Tackling MaxSAT by Combining Nested Monte Carlo with Local Search,0,ALL,0.8421935172427284,-136.53250484865947
R30,OEKG: The Open Event Knowledge Graph,0,ALL,0.8444089224617763,-149.6556048847825
R31,Forward-PECVaR Algorithm: Exact Evaluation for CVaR SSPs,0,ALL,0.8509164892447243,-232.19589629494584
R32,Neural Compositional Rule Learning for Knowledge Graph Reasoning,0,ALL,0.8787293238622571,-166.76210019445767
R33,Fast and Slow Planning,0,ALL,0.8568977543269056,-187.57386246584272
R34,Improve Retrieval-based Dialogue System via Syntax-Informed Attention,0,ALL,0.8833531406526904,-130.1505232679589
R35,Building an Effective Email Spam Classification Model with spaCy,0,ALL,0.7577783716448251,-199.97120275046643
