id,title,year,field,B3_topic_pair_rarity
R0,A Meta-Learning Algorithm for Interrogative Agendas,0,ALL,0.9879154078549849
R1,Contrast with Major Classifier Vectors for Federated Medical Relation Extraction with Heterogeneous Label Distribution,0,ALL,0.9909365558912386
R2,Counterexample Guided Abstraction Refinement with Non-Refined Abstractions for Multi-Agent Path Finding,0,ALL,0.972809667673716
R3,NeSIG: A Neuro-Symbolic Method for Learning to Generate Planning Problems,0,ALL,0.9909365558912386
R4,Generalized Planning as Heuristic Search: A new planning search-space that leverages pointers over objects,0,ALL,0.9788519637462235
R5,Context Matters: A Strategy to Pre-train Language Model for Science Education,0,ALL,0.9939577039274925
R6,HeroNet: A Hybrid Retrieval-Generation Network for Conversational Bots,0,ALL,0.9969788519637462
R7,BERT-based Authorship Attribution on the Romanian Dataset called ROST,0,ALL,0.972809667673716
R8,Purposeful and Operation-based Cognitive System for AGI,0,ALL,0.9758308157099698
R9,"Multimodality Representation Learning: A Survey on Evolution, Pretraining and Its Applications",0,ALL,0.9879154078549849
R10,MetaTKG: Learning Evolutionary Meta-Knowledge for Temporal Knowledge Graph Reasoning,0,ALL,0.9879154078549849
R11,DOR: A Novel Dual-Observation-Based Approach for News Recommendation Systems,0,ALL,0.972809667673716
R12,"Describe, Explain, Plan and Select: Interactive Planning with Large Language Models Enables Open-World Multi-Task Agents",0,ALL,0.9879154078549849
R13,"Learning Zero-Shot Cooperation with Humans, Assuming Humans Are Biased",0,ALL,0.9697885196374623
R14,Towards Understanding the Effects of Evolving the MCTS UCT Selection Policy,0,ALL,0.9848942598187311
R15,Explaining with Greater Support: Weighted Column Sampling Optimization for q-Consistent Summary-Explanations,0,ALL,0.9788519637462235
R16,A Biomedical Knowledge Graph for Biomarker Discovery in Cancer,0,ALL,0.9909365558912386
R17,GeoFault: A well-founded fault ontology for interoperability in geological modeling,0,ALL,0.972809667673716
R18,Knowledge Graph Completion based on Tensor Decomposition for Disease Gene Prediction,0,ALL,0.9848942598187311
R19,VITAL: Vision Transformer Neural Networks for Accurate Smartphone Heterogeneity Resilient Indoor Localization,0,ALL,0.9909365558912386
R20,Unreliable Partial Label Learning with Recursive Separation,0,ALL,0.9879154078549849
R21,Label Information Enhanced Fraud Detection against Low Homophily in Graphs,0,ALL,0.9909365558912386
R22,Adaptive Discretization using Voronoi Trees for Continuous POMDPs,0,ALL,0.9969788519637462
R23,Reusable Slotwise Mechanisms,0,ALL,0.9697885196374623
R24,Dual Policy Learning for Aggregation Optimization in Graph Neural Network-based Recommender Systems,0,ALL,0.9788519637462235
R25,DNG: Taxonomy Expansion by Exploring the Intrinsic Directed Structure on Non-gaussian Space,0,ALL,0.9848942598187311
R26,KGTrust: Evaluating Trustworthiness of SIoT via Knowledge Enhanced Graph Neural Networks,0,ALL,0.9788519637462235
R27,Explorative analysis of human disease-symptoms relations using the Convolutional Neural Network,0,ALL,0.9788519637462235
R28,Towards Computationally Efficient Responsibility Attribution in Decentralized Partially Observable MDPs,0,ALL,0.9848942598187311
R29,Towards Tackling MaxSAT by Combining Nested Monte Carlo with Local Search,0,ALL,0.9788519637462235
R30,OEKG: The Open Event Knowledge Graph,0,ALL,0.972809667673716
R31,Forward-PECVaR Algorithm: Exact Evaluation for CVaR SSPs,0,ALL,0.9818731117824774
R32,Neural Compositional Rule Learning for Knowledge Graph Reasoning,0,ALL,0.9788519637462235
R33,Fast and Slow Planning,0,ALL,0.9818731117824774
R34,Improve Retrieval-based Dialogue System via Syntax-Informed Attention,0,ALL,0.9818731117824774
R35,Building an Effective Email Spam Classification Model with spaCy,0,ALL,0.9848942598187311
R36,Large-Scale Traffic Signal Control Using Constrained Network Partition and Adaptive Deep Reinforcement Learning,0,ALL,0.9788519637462235
R37,Extended High Utility Pattern Mining: An Answer Set Programming Based Framework and Applications,0,ALL,0.9788519637462235
R38,Enhanced Iterated local search for the technician routing and scheduling problem,0,ALL,0.9788519637462235
R39,Heuristic Search for Multi-Objective Probabilistic Planning,0,ALL,0.9848942598187311
R40,A Linear Weight Transfer Rule for Local Search,0,ALL,0.9818731117824774
R41,System Predictor: Grounding Size Estimator for Logic Programs under Answer Set Semantics,0,ALL,0.9788519637462235
R42,The challenge of redundancy on multi-agent value factorisation,0,ALL,0.9909365558912386
R43,Effective and Stable Role-Based Multi-Agent Collaboration by Structural Information Principles,0,ALL,0.9909365558912386
R44,smProbLog: Stable Model Semantics in ProbLog for Probabilistic Argumentation,0,ALL,0.9788519637462235
R45,Regularization of the policy updates for stabilizing Mean Field Games,0,ALL,0.9788519637462235
R46,Adaptive Ensemble Learning: Boosting Model Performance through Intelligent Feature Fusion in Deep Neural Networks,0,ALL,0.9879154078549849
R47,Evidentiality-aware Retrieval for Overcoming Abstractiveness in Open-Domain Question Answering,0,ALL,0.9879154078549849
R48,Addressing Variable Dependency in GNN-based SAT Solving,0,ALL,0.9848942598187311
R49,PaTeCon: A Pattern-Based Temporal Constraint Mining Method for Conflict Detection on Knowledge Graphs,0,ALL,0.9758308157099698
R50,H-TSP: Hierarchically Solving the Large-Scale Travelling Salesman Problem,0,ALL,0.972809667673716
R51,Pointerformer: Deep Reinforced Multi-Pointer Transformer for the Traveling Salesman Problem,0,ALL,0.9909365558912386
R52,Sequential Recommendation with Probabilistic Logical Reasoning,0,ALL,0.9909365558912386
R53,Detecting Spoilers in Movie Reviews with External Movie Knowledge and User Networks,0,ALL,0.9788519637462235
R54,Personalized Federated Learning via Gradient Modulation for Heterogeneous Text Summarization,0,ALL,0.9758308157099698
R55,LogicRec: Recommendation with Users' Logical Requirements,0,ALL,0.9818731117824774
R56,A Neuro-Symbolic Approach for Enhanced Human Motion Prediction,0,ALL,0.9818731117824774
R57,Data-driven Knowledge Fusion for Deep Multi-instance Learning,0,ALL,0.9879154078549849
R58,Combining Monte Carlo Tree Search and Heuristic Search for Weighted Vertex Coloring,0,ALL,0.9758308157099698
R59,Semantic Compression With Large Language Models,0,ALL,0.9879154078549849
R60,Adaptive Path-Memory Network for Temporal Knowledge Graph Reasoning,0,ALL,0.9909365558912386
R61,Standpoint Linear Temporal Logic,0,ALL,0.972809667673716
R62,Metric Temporal Equilibrium Logic over Timed Traces,0,ALL,0.9848942598187311
R63,Procedural Content Generation via Knowledge Transformation (PCG-KT),0,ALL,0.9879154078549849
R64,Rounding Meets Approximate Model Counting,0,ALL,0.9818731117824774
R65,Scale-Adaptive Balancing of Exploration and Exploitation in Classical Planning,0,ALL,0.9848942598187311
R66,River of No Return: Graph Percolation Embeddings for Efficient Knowledge Graph Reasoning,0,ALL,0.9879154078549849
R67,"Multi-Agent Reinforcement Learning: Methods, Applications, Visionary Prospects, and Challenges",0,ALL,0.9939577039274925
R68,Curriculum Learning in Job Shop Scheduling using Reinforcement Learning,0,ALL,0.9788519637462235
R69,Integrated Conflict Management for UAM with Strategic Demand Capacity Balancing and Learning-based Tactical Deconfliction,0,ALL,0.972809667673716
R70,Generalized Planning in PDDL Domains with Pretrained Large Language Models,0,ALL,0.9909365558912386
R71,Tram: A Token-level Retrieval-augmented Mechanism for Source Code Summarization,0,ALL,0.9788519637462235
R72,NeuSTIP: A Novel Neuro-Symbolic Model for Link and Time Prediction in Temporal Knowledge Graphs,0,ALL,0.9909365558912386
R73,Do Models Really Learn to Follow Instructions? An Empirical Study of Instruction Tuning,0,ALL,0.9909365558912386
R74,XRoute Environment: A Novel Reinforcement Learning Environment for Routing,0,ALL,0.972809667673716
R75,A Mini Review on the utilization of Reinforcement Learning with OPC UA,0,ALL,0.972809667673716
R76,Symmetry-Aware Robot Design with Structured Subgroups,0,ALL,0.972809667673716
R77,ProcessGPT: Transforming Business Process Management with Generative Artificial Intelligence,0,ALL,0.9788519637462235
R78,Addressing Domain Shift via Knowledge Space Sharing for Generalized Zero-Shot Industrial Fault Diagnosis,0,ALL,0.9758308157099698
R79,Rhythm-controllable Attention with High Robustness for Long Sentence Speech Synthesis,0,ALL,0.9818731117824774
R80,Efficient GPT Model Pre-training using Tensor Train Matrix Representation,0,ALL,0.9818731117824774
R81,Action-Evolution Petri Nets: a Framework for Modeling and Solving Dynamic Task Assignment Problems,0,ALL,0.9848942598187311
R82,ColdNAS: Search to Modulate for User Cold-Start Recommendation,0,ALL,0.972809667673716
R83,A Unified One-Step Solution for Aspect Sentiment Quad Prediction,0,ALL,0.9969788519637462
R84,GCT-TTE: Graph Convolutional Transformer for Travel Time Estimation,0,ALL,0.9879154078549849
R85,Progression Cognition Reinforcement Learning with Prioritized Experience for Multi-Vehicle Pursuit,0,ALL,0.9697885196374623
R86,Gradient-Informed Quality Diversity for the Illumination of Discrete Spaces,0,ALL,0.9969788519637462
R87,Explaining SAT Solving Using Causal Reasoning,0,ALL,0.9909365558912386
R88,On Guiding Search in HTN Temporal Planning with non Temporal Heuristics,0,ALL,0.9848942598187311
R89,Towards Explainable TOPSIS: Visual Insights into the Effects of Weights and Aggregations on Rankings,0,ALL,0.9848942598187311
R90,Contextual Dictionary Lookup for Knowledge Graph Completion,0,ALL,0.9879154078549849
R91,DsMtGCN: A Direction-sensitive Multi-task framework for Knowledge Graph Completion,0,ALL,0.9909365558912386
R92,FC-KBQA: A Fine-to-Coarse Composition Framework for Knowledge Base Question Answering,0,ALL,0.9818731117824774
R93,Internal Contrastive Learning for Generalized Out-of-distribution Fault Diagnosis (GOOFD) Framework,0,ALL,0.9879154078549849
R94,ShuttleSet22: Benchmarking Stroke Forecasting with Stroke-Level Badminton Dataset,0,ALL,0.972809667673716
R95,ConKI: Contrastive Knowledge Injection for Multimodal Sentiment Analysis,0,ALL,0.9939577039274925
R96,Computationally Assisted Quality Control for Public Health Data Streams,0,ALL,0.9879154078549849
R97,Novelty and Lifted Helpful Actions in Generalized Planning,0,ALL,0.9909365558912386
R98,Knowledge Graph for NLG in the context of conversational agents,0,ALL,0.9939577039274925
R99,Inductive Meta-path Learning for Schema-complex Heterogeneous Information Networks,0,ALL,0.972809667673716
R100,Guided Bottom-Up Interactive Constraint Acquisition,0,ALL,0.9758308157099698
R101,Abstracting Concept-Changing Rules for Solving Raven's Progressive Matrix Problems,0,ALL,0.9969788519637462
R102,Lifted Sequential Planning with Lazy Constraint Generation Solvers,0,ALL,0.9848942598187311
R103,Machine Learning for SAT: Restricted Heuristics and New Graph Representations,0,ALL,0.9848942598187311
R104,Rumor Detection with Diverse Counterfactual Evidence,0,ALL,0.9788519637462235
R105,Reinforcement Learning and Data-Generation for Syntax-Guided Synthesis,0,ALL,0.9818731117824774
R106,Towards Reliable Rare Category Analysis on Graphs via Individual Calibration,0,ALL,0.972809667673716
R107,TREA: Tree-Structure Reasoning Schema for Conversational Recommendation,0,ALL,0.9788519637462235
R108,PPN: Parallel Pointer-based Network for Key Information Extraction with Complex Layouts,0,ALL,0.9788519637462235
R109,Monte-Carlo Tree Search for Multi-Agent Pathfinding: Preliminary Results,0,ALL,0.9788519637462235
R110,Argument Attribution Explanations in Quantitative Bipolar Argumentation Frameworks (Technical Report),0,ALL,0.9909365558912386
R111,ForestMonkey: Toolkit for Reasoning with AI-based Defect Detection and Classification Models,0,ALL,0.972809667673716
R112,DELPHIC: Practical DEL Planning via Possibilities (Extended Version),0,ALL,0.9788519637462235
