bin,n,p,lift,lo,hi
0,250,0.756,0.8716893203873445,0.8061371487519084,0.9283072186521172
1,249,0.8554216867469879,0.9863253290543357,0.9297304551647991,1.0304671033390729
2,249,0.8835341365461847,1.0187397764880464,0.9659369010055613,1.0581045614365387
3,250,0.88,1.014664817382094,0.9614651779890303,1.0546026447405796
4,249,0.8594377510040161,0.9909559644020087,0.9348608892695369,1.0344572269397967
5,249,0.8875502008032129,1.0233704118357192,0.9711704703058951,1.0619915498416663
6,250,0.892,1.028501155800941,0.9771066660586497,1.0662150394444039
7,249,0.8674698795180723,1.0002172350973546,0.9451615981223779,1.0423976334978777
8,249,0.9076305220883534,1.0465235885740838,0.997615427689211,1.081149380985656
9,250,0.884,1.0192769301883764,0.9666622777428919,1.0584901725778657
