query_id,p_at_10,ndcg_at_10
R0,0.3,0.8179809735263114
R1,0.3,0.5508095940041026
R2,0.4,0.7226387152952866
R3,0.6,0.9045395669105326
R4,0.3,0.6039071644781281
R5,0.4,0.5431800515011934
R6,0.7,0.7027000139797092
R7,0.5,0.8495981447350542
R8,0.4,0.5431800515011934
R9,0.6,0.9181890364255552
R10,0.2,0.41443699955334395
R11,0.6,0.6984365947119812
R12,0.4,0.49256861998650303
R13,0.6,0.8883444449388405
R14,0.5,0.80737248436437
R15,0.6,0.8943854911728584
R16,0.7,0.8859509025892363
R17,0.5,0.9434732991210639
R18,0.3,0.5642221110316635
R19,0.7,0.796670591535181
R20,0.6,0.8541058313273973
R21,0.4,0.5883300173403988
R22,0.5,0.6669000641169921
R23,0.3,0.6196686079396531
R24,0.5,0.6697622278142621
R25,0.5,0.7190641271563337
R26,0.3,0.5316900945208328
R27,0.5,0.5652064629239767
R28,0.5,0.6746579650586142
R29,0.5,0.8260863919409527
R30,0.5,0.6479876501461626
R31,0.4,0.9178287402913374
R32,0.3,0.6256646589861505
R33,0.3,0.8070380459557518
R34,0.4,0.8988898126139723
R35,0.4,0.625524935148309
R36,0.4,0.6153925060653322
R37,0.6,0.8148744686404846
R38,0.5,0.6673352714949169
R39,0.3,0.8529278650606567
R40,0.3,0.6039071644781281
R41,0.6,0.9181890364255552
R42,0.4,0.8276904491046954
R43,0.4,0.6198898455343711
R44,0.4,0.8665427526082052
R45,0.6,0.8068857496524254
R46,0.4,0.6444638628256741
R47,0.6,0.8112537795184348
R48,0.4,0.7701035286296695
R49,0.2,0.42177340954886444
R50,0.3,0.5498407734605132
R51,0.4,0.6955762265703532
R52,0.4,0.6084170171049966
R53,0.2,0.48247555939075504
R54,0.4,0.8207149601443599
R55,0.5,0.7376801427060833
R56,0.3,0.7529716549381369
R57,0.3,0.6447841584694202
R58,0.4,0.6505998846696008
R59,0.2,0.8175295903539445
R60,0.2,0.42177340954886444
R61,0.3,0.7529716549381369
R62,0.4,0.49256861998650303
R63,0.3,0.9060254355346823
R64,0.4,0.6386364459525712
R65,0.3,0.7844801364718914
R66,0.4,0.5938524313109838
R67,0.6,0.7424242840075184
R68,0.6,0.7668878296761484
R69,0.5,0.8211906546966005
R70,0.6,0.7028046245779905
R71,0.5,0.646990210946125
R72,0.1,0.3010299956639812
R73,0.4,0.7654325652221776
R74,0.5,0.6455502826691841
R75,0.8,0.8807346094186412
R76,0.6,0.8294203610382852
R77,0.2,0.8315546295836225
R78,0.5,0.7962090036840728
R79,0.3,0.45646838330896394
