id,title,year,field,split,s_m,s_t,s_mt,s_mn,s_tn,s_mtn,S
H0,An Empirical Analysis of Search in GSAT,0,ALL,historical,0.4296809076804205,0.44375447054421435,0.440570890551996,0.0,0.0,0.0,0.0
H1,Substructure Discovery Using Minimum Description Length and Background Knowledge,0,ALL,historical,0.6583946797644464,0.44375447054421435,0.4405709141632031,0.44705978106687394,0.0,4.300976455272151e-08,0.4470597961202915
H2,Bias-Driven Revision of Logical Domain Theories,0,ALL,historical,0.7463776036383454,0.44375447054421435,0.5221252298829137,0.6190372983203524,0.0,0.14855796732168647,0.6710325868829426
H3,Wrap-Up: a Trainable Discourse Module for Information Extraction,0,ALL,historical,0.5326321183147188,0.6991463390918542,0.501612125663295,0.20123556735284842,0.48471271504394314,0.11119165313993243,0.7248653609957678
H4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm,0,ALL,historical,0.4296809076804205,0.5888917608920886,0.5099993297599031,0.0,0.2754586136931623,0.12646963837439634,0.31972298712420105
H5,FLECS: Planning with a Flexible Commitment Strategy,0,ALL,historical,0.865509236871612,0.44375447054421435,0.52690860646297,0.8519002404427741,0.0,0.15727128297720225,0.9069451894847949
H6,Induction of First-Order Decision Lists: Results on Learning the Past Tense of English Verbs,0,ALL,historical,0.6496683894037146,0.7982597757013467,0.5668345945023577,0.4300027694901443,0.6728218479992132,0.22999976897932983,1.183324536632123
H7,Building and Refining Abstract Planning Cases by Change of Representation Language,0,ALL,historical,0.6875146028893631,0.5036763142778168,0.5256220365517441,0.5039795998354905,0.11372672016429294,0.15492768958417108,0.6719310113542433
H8,OPUS: An Efficient Admissible Algorithm for Unordered Search,0,ALL,historical,0.42968139461031524,0.443754891236026,0.4405710203570936,9.517869000767849e-07,7.984383817240091e-07,2.3645071013869064e-07,1.8329830303493356e-06
H9,Translating between Horn Representations and their Characteristic Models,0,ALL,historical,0.47988760615936504,0.44375447054421435,0.45634181483080566,0.09813749047801724,0.0,0.028728041608400274,0.10819230504095734
H10,A Formal Framework for Speedup Learning from Problems and Solutions,0,ALL,historical,0.5539900430733568,0.8422478915214378,0.5110107622203859,0.2429832464700096,0.7563076659701425,0.12831204616833117,1.044200128599068
H11,Cue Phrase Classification Using Machine Learning,0,ALL,historical,0.4523106091525794,0.5008007297086123,0.45366510168003044,0.04423358197264709,0.10826909768083648,0.023852187447300548,0.16085094526003876
H12,MUSE CSP: An Extension to the Constraint Satisfaction Problem,0,ALL,historical,0.6547162772876394,0.593997055246911,0.8814424273901968,0.43986972079646286,0.28514804155904167,0.8030839302972768,1.0060971379595514
H13,Exploiting Causal Independence in Bayesian Network Inference,0,ALL,historical,0.4296809076804205,0.4437550450718903,0.4405709574616741,0.0,1.0904061717135918e-06,1.2188150686584525e-07,1.1330646991166377e-06
H14,Flaw Selection Strategies for Partial-Order Planning,0,ALL,historical,0.48317429784176374,0.46125119215774457,0.6382700087740619,0.10456188569732947,0.03320733540144126,0.36012527825390245,0.2638130684876365
H15,Cached Sufficient Statistics for Efficient Machine Learning with Large Datasets,0,ALL,historical,0.6962344451315374,0.5437674166809447,0.72404524870124,0.5210240074730507,0.18981632789313108,0.5163719647534,0.8915705230298717
H16,Model-Based Diagnosis using Structured System Descriptions,0,ALL,historical,0.6410218634039208,0.5650479526880755,0.5309721427635379,0.41310167085828425,0.2302050311210987,0.16467335008856435,0.7009423745103806
H17,A reusable iterative optimization software library to solve combinatorial problems with approximate reasoning,0,ALL,historical,0.6197529278239203,0.6095978967130342,0.4917036172955524,0.3715279361536371,0.31475715271445076,0.09314248648150385,0.7188849591366142
H18,Iterative Deepening Branch and Bound,0,ALL,historical,0.5086600887990022,0.7832721192824874,0.5411678172892243,0.15437817800819764,0.6443765115198494,0.183245613630098,0.8628906542985814
H19,On the accuracy and running time of GSAT,0,ALL,historical,0.4296809076804205,0.8057886299037896,0.49866859742903263,0.0,0.6871109926865093,0.10582977325930859,0.7241514133272673
H20,ACLP: Integrating Abduction and Constraint Solving,0,ALL,historical,0.6699943579569685,0.5109983488105838,0.7152243519404902,0.4697333155284976,0.12762333816629085,0.5003039724983924,0.7724630440692258
H21,Probabilistic Default Reasoning with Conditional Constraints,0,ALL,historical,0.6565407344171316,0.4655359987840178,0.6633043838338475,0.4434359310751208,0.041339545189756265,0.4057274608301097,0.6267800875554155
H22,Planning with Incomplete Information,0,ALL,historical,0.8954656569882068,0.4551739830207315,0.6868922204579433,0.910455134172357,0.021673293392026245,0.44869465412896165,1.08917155650952
H23,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,0,ALL,historical,0.5423736205420018,0.8125999854021282,0.6595067233340243,0.2202769823638851,0.7000383839754505,0.3988097084571502,1.059898764299338
H24,DATALOG with constraints - an answer-set programming system,0,ALL,historical,0.8906748928373857,0.5258652980489742,0.5263474705864131,0.9010907747247664,0.1558395823667849,0.15624912761555654,1.1116175517569962
H25,Brainstorm/J: a Java Framework for Intelligent Agents,0,ALL,historical,0.64046511417471,0.737986460990456,0.5069494088232481,0.4120134102509227,0.5584280648911023,0.12091395539592417,1.0127613595305984
H26,Searching for Plannable Domains can Speed up Reinforcement Learning,0,ALL,historical,0.7443946558726586,0.44375447054421435,0.5199698675166451,0.6151612912661323,0.0,0.1446317966899157,0.6657824201076028
H27,A Framework for Searching AND/OR Graphs with Cycles,0,ALL,historical,0.7591848824055262,0.7000964360202013,0.902487131124617,0.6440712925111997,0.4865159206992874,0.8414185969173684,1.425083722131566
H28,Pruning Isomorphic Structural Sub-problems in Configuration,0,ALL,historical,0.698370664943371,0.7026294650143885,0.5182547347327048,0.5251996106852531,0.4913234009375569,0.14150754061526236,1.066050650838152
H29,"Probabilistic Reasoning as Information Compression by Multiple Alignment, Unification and Search: An Introduction and Overview",0,ALL,historical,0.5763258862375208,0.5519804801112185,0.6926779679939523,0.286642432639379,0.20540404529680206,0.45923387129922577,0.65277833289091
H30,Parametric Connectives in Disjunctive Logic Programming,0,ALL,historical,0.6749547663411485,0.7856148476994278,0.6925624959469908,0.47942927334523583,0.6488228169486143,0.4590235294250863,1.2889103255926304
H31,Logic-Based Specification Languages for Intelligent Software Agents,0,ALL,historical,0.7362371241512349,0.4437545456261459,0.7177760669403646,0.5992160147215875,1.42499317243715e-07,0.5049521321999558,0.7759494034908893
H32,Modeling Object Oriented Constraint Programs in Z,0,ALL,historical,0.862949785921187,0.44375453530479336,0.721887175452725,0.8468973603314356,1.2291024087222808e-07,0.5124408560256372,1.0262517828506494
H33,Data Mining Approach for Analyzing Call Center Performance,0,ALL,historical,0.5614324964005536,0.626455570559272,0.693655851528737,0.2575307812543805,0.34675162812904675,0.4610151669531026,0.7656377178170132
H34,A Concurrent Fuzzy-Neural Network Approach for Decision Support Systems,0,ALL,historical,0.48425404193297616,0.8224846654600778,0.5097684331161886,0.10667242828786631,0.7187986919503137,0.12604904106059245,0.8695882846093873
H35,Business Intelligence from Web Usage Mining,0,ALL,historical,0.4990278801343971,0.8837985065145991,0.47793284656761764,0.13555039576512937,0.8351673082900544,0.06805788982388111,0.9945379654935421
H36,Regression with respect to sensing actions and partial states,0,ALL,historical,0.5233486467538088,0.906225792318062,0.4766232125803371,0.1830894508083832,0.877732448107085,0.06567228331070273,1.083807198074214
H37,Decomposition Based Search - A theoretical and experimental evaluation,0,ALL,historical,0.7699247656407355,0.5113116092468359,0.596620296635452,0.6650642121944644,0.12821788065284342,0.28425688638649893,0.8927720030825825
H38,Proportional Conflict Redistribution Rules for Information Fusion,0,ALL,historical,0.5331371281681133,0.44375447054421435,0.5354882716087535,0.20222269459244563,0.0,0.17289985191436869,0.2627376427624747
H39,Planning with Preferences using Logic Programming,0,ALL,historical,0.5240058185496372,0.44375447054421435,0.4560473275683643,0.18437400432035303,0.0,0.02819160872856416,0.1942410673753505
H40,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,0,ALL,historical,0.7955675174828207,0.4437546146576788,0.5567457347779536,0.7151873111229502,2.735154765115685e-07,0.21162207742364694,0.7892553117367032
H41,"An efficient memetic, permutation-based evolutionary algorithm for real-world train timetabling",0,ALL,historical,0.6765193468604074,0.8692728363337971,0.6720040627071325,0.48248751080084656,0.8075987836098882,0.4215746446877648,1.4376374200514523
H42,Evolution of Voronoi based Fuzzy Recurrent Controllers,0,ALL,historical,0.6230863436621711,0.48788921719505984,0.6031004282241963,0.378043661644386,0.08376411120120446,0.2960609814806265,0.5654291163638098
H43,Processing Uncertainty and Indeterminacy in Information Systems success mapping,0,ALL,historical,0.5677934995178447,0.6375423165378009,0.4862829442658919,0.2699644385504402,0.3677933581371924,0.08326828268795339,0.6669016956284164
H44,Truecluster: robust scalable clustering with model selection,0,ALL,historical,0.8879510248614958,0.44375476598729974,0.5982228236407413,0.8957665137068991,5.607266232570338e-07,0.28717602173155876,0.9962786820395679
H45,Divide-and-Evolve: a New Memetic Scheme for Domain-Independent Temporal Planning,0,ALL,historical,0.8002351282136466,0.5737931864954071,0.6150270102243022,0.7243109463654392,0.24680276403464707,0.3177862359988671,1.0823388929996898
H46,Approximation Algorithms for K-Modes Clustering,0,ALL,historical,0.7015531067487301,0.6597113907176207,0.48539216191383855,0.531420231873903,0.4098684335764349,0.08164564903494663,0.9698646426125692
H47,Retraction and Generalized Extension of Computing with Words,0,ALL,historical,0.5946108285429968,0.6847519115278107,0.4809258039371035,0.32238344739953684,0.4573932780323085,0.07350980895827741,0.8055051585672424
H48,Fusion of qualitative beliefs using DSmT,0,ALL,historical,0.6995742754506117,0.5516412473816252,0.5208531624715601,0.5275522711523244,0.20476020953833415,0.1462407914304068,0.783496757691301
H49,Decentralized Failure Diagnosis of Stochastic Discrete Event Systems,0,ALL,historical,0.7574758482721445,0.7261238514936931,0.606981812990512,0.6407306960156606,0.535913809878283,0.3031312445225175,1.2827404414768249
H50,Structure and Problem Hardness: Goal Asymmetry and DPLL Proofs in<br> SAT-Based Planning,0,ALL,historical,0.4296809076804205,0.7911506210279846,0.49936546505480317,0.0,0.6593292584230894,0.107099175216655,0.6968139697489186
H51,Case Base Mining for Adaptation Knowledge Acquisition,0,ALL,historical,0.4835167739830304,0.7365396107045541,0.48075959487292474,0.10523131328509643,0.555682062309541,0.07320704541525312,0.6865358414899759
H52,Fuzzy Artmap and Neural Network Approach to Online Processing of Inputs with Missing Values,0,ALL,historical,0.570886116618691,0.6535992436328254,0.5637738977093559,0.2760094821498264,0.39826808222199683,0.22442445688819287,0.7528261242826908
H53,On-Line Condition Monitoring using Computational Intelligence,0,ALL,historical,0.7177740788951791,0.4619184484856337,0.5314666135124906,0.5631268675976983,0.03447373291112177,0.1655740694122337,0.6555515248031019
H54,The Road to Quantum Artificial Intelligence,0,ALL,historical,0.4763827885571498,0.5102283516420308,0.4733139782114909,0.09128673122706135,0.1261619470097598,0.059644239490348,0.23832416205844295
H55,Qualitative Belief Conditioning Rules (QBCR),0,ALL,historical,0.6459974932611472,0.44375447054421435,0.5321165289572147,0.4228273816205738,0.0,0.1667579440924935,0.48119266205294653
H56,Fitness landscape of the cellular automata majority problem: View from the Olympus,0,ALL,historical,0.4709150797229037,0.83561998857077,0.45923684644417456,0.08059916881181048,0.7437284524950407,0.03400158088715036,0.8362281746173539
H57,Lagrangian Relaxation for MAP Estimation in Graphical Models,0,ALL,historical,0.6641782909172337,0.5768864690170791,0.5541773402311908,0.45836482803532275,0.2526735592874642,0.20694353454931896,0.7834686244150486
H58,Decomposition During Search for Propagation-Based Constraint Solvers,0,ALL,historical,0.6389665383794207,0.6729229954332073,0.5007805526040192,0.4090841902006846,0.4349429703195058,0.10967687410574484,0.882414066457201
H59,Bin Packing Under Multiple Objectives - a Heuristic Approximation Approach,0,ALL,historical,0.45311190873725804,0.44375447054421435,0.444439978311594,0.04579985764389872,0.0,0.007047863028144129,0.048266609703749165
H60,Extended ASP tableaux and rule redundancy in normal logic programs,0,ALL,historical,0.8042698002991242,0.44375447054421435,0.7125627876953432,0.7321973958904271,0.0,0.49545571332053634,0.9056068955526149
H61,Classification dynamique d'un flux documentaire : une évaluation statique préalable de l'algorithme GERMEN,0,ALL,historical,0.6790363996555151,0.7194974408513488,0.5036513118196811,0.48740751654103964,0.523337428681371,0.11490619920662341,1.0509621149447288
H62,Learning DTW Global Constraint for Time Series Classification,0,ALL,historical,0.8730967914456406,0.4437545512774489,0.4405709674175863,0.8667314001748255,1.5322502447589805e-07,1.400170235318525e-07,0.8667316024058083
H63,A Novel Two-Stage Dynamic Decision Support based Optimal Threat Evaluation and Defensive Resource Scheduling Algorithm for Multi Air-borne threats,0,ALL,historical,0.5850040956363802,0.8346421094078301,0.8380034402147825,0.3036054618376437,0.7418725184484753,0.7239562261158032,1.2988626594266501
H64,Reasoning about Cardinal Directions between Extended Objects,0,ALL,historical,0.6838200677654958,0.4437546362523488,0.47443687739260854,0.49675800557568706,3.145003801581415e-07,0.061689693125587995,0.518349712670023
H65,A Local Search Modeling for Constrained Optimum Paths Problems (Extended Abstract),0,ALL,historical,0.8140436228791176,0.5534028084248134,0.6474340994991883,0.751301986501582,0.2081035071962237,0.3768184266705947,1.0912919430325139
H66,Finite element model selection using Particle Swarm Optimization,0,ALL,historical,0.44373803568913195,0.8225632596834844,0.6504004957187518,0.027477036090746556,0.7189478573079691,0.3822219624758566,0.8802025802652654
H67,$α$-Discounting Multi-Criteria Decision Making ($α$-D MCDM),0,ALL,historical,0.8179751358205388,0.46760757352102034,0.8374652567440103,0.7589867940181474,0.0452712232846743,0.7229758804576816,1.0572995754630101
H68,Model-Driven Constraint Programming,0,ALL,historical,0.7514668910838231,0.7299748144370889,0.5331504197121324,0.628985172077276,0.5432226201173952,0.1686412615253039,1.2312322337285275
H69,A new model for solution of complex distributed constrained problems,0,ALL,historical,0.6386515768931437,0.6040858294659566,0.7361342886462728,0.40846854466339794,0.3042957034285765,0.5383931498410206,0.9012018505363317
H70,Terrorism Event Classification Using Fuzzy Inference Systems,0,ALL,historical,0.6009202009631642,0.592851501163521,0.5871821278016492,0.33471618375873224,0.28297387433458254,0.2670644820498104,0.7111626268107485
H71,Online Cake Cutting,0,ALL,historical,0.8343644114852038,0.8534112240850836,0.5760292575210394,0.7910224074564057,0.7774947510039556,0.24674860735469503,1.6548791710345045
H72,Logic-Based Decision Support for Strategic Environmental Assessment,0,ALL,historical,0.7227093470996996,0.5701389774979114,0.5063092528402121,0.5727736846779073,0.2398673765668047,0.11974785838148126,0.8545528116782305
H73,AI 3D Cybug Gaming,0,ALL,historical,0.6367808065361492,0.8494778893932773,0.5248003073709252,0.40481180734231925,0.7700296059761047,0.15343084198791948,1.2285422080141957
H74,General Scaled Support Vector Machines,0,ALL,historical,0.6225151444110555,0.44375447054421435,0.7010476540715739,0.37692715602331006,0.0,0.4744799460147217,0.5429951371284627
H75,Introduction to the iDian,0,ALL,historical,0.7697389273190914,0.5159258546655657,0.560396211684849,0.6647009597386503,0.13697533811423626,0.21827172272139922,0.8780714008053763
H76,Prunnig Algorithm of Generation a Minimal Set of Rule Reducts Based on Rough Set Theory,0,ALL,historical,0.6667382265086863,0.62081458660623,0.6939848339556313,0.46336865545958317,0.3360455055616077,0.4616144356250694,0.9609792134899652
H77,Significance of Classification Techniques in Prediction of Learning Disabilities,0,ALL,historical,0.6955080476466727,0.5024209705421656,0.558747899717818,0.5196041406342848,0.11134418122959157,0.21526918628565497,0.7062925370638556
H78,URSA: A System for Uniform Reduction to SAT,0,ALL,historical,0.9412764073655365,0.4437545391385066,0.5709493374464625,1.0,1.3018631258810177e-07,0.23749511322271963,1.0831234198142645
H79,SAPFOCS: a metaheuristic based approach to part family formation problems in group technology,0,ALL,historical,0.7632076435228883,0.5168404426757507,0.47205449324691345,0.6519344600328806,0.13871115076984045,0.05734998356546529,0.8107181050506338
H80,Evolving Genes to Balance a Pole,0,ALL,historical,0.5383181961177268,0.6164267003945315,0.5345069982017108,0.21234996888004667,0.3277176592168071,0.17111238132809392,0.5999569615616867
H81,Growing a Tree in the Forest: Constructing Folksonomies by Integrating Structured Metadata,0,ALL,historical,0.7136841453164479,0.6795188750589917,0.502636157036668,0.555132400130239,0.4474614061635999,0.11305701089465149,1.0421637601069669
H82,A general approach to belief change in answer set programming,0,ALL,historical,0.5900929642376804,0.7917879558966718,0.551419032618024,0.313552516892726,0.660538867469573,0.20191904933342758,1.0447630516289987
H83,Learning Efficient Disambiguation,0,ALL,historical,0.6972619496171172,0.5593894096227766,0.6186207534041154,0.5230324389119749,0.21946558280595987,0.324332536125252,0.856014409361773
