id,title,year,field,B1_tfidf_dist,B1_bm25_negmax
R0,An Empirical Analysis of Search in GSAT,0,ALL,0.88568575159032,-234.1926755406213
R1,Substructure Discovery Using Minimum Description Length and Background Knowledge,0,ALL,0.8837270217197848,-279.77624383124305
R2,Bias-Driven Revision of Logical Domain Theories,0,ALL,0.9000701267318056,-185.42707624847472
R3,Wrap-Up: a Trainable Discourse Module for Information Extraction,0,ALL,0.8639722540761055,-157.8622650079939
R4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm,0,ALL,0.8734914114246322,-254.29780067613675
R5,FLECS: Planning with a Flexible Commitment Strategy,0,ALL,0.8004735176160267,-310.8354194052088
R6,Induction of First-Order Decision Lists: Results on Learning the Past Tense of English Verbs,0,ALL,0.9105753274399451,-149.01165244973848
R7,Building and Refining Abstract Planning Cases by Change of Representation Language,0,ALL,0.8661259272571242,-300.41473128645936
R8,OPUS: An Efficient Admissible Algorithm for Unordered Search,0,ALL,0.8281065227827743,-147.12860570686055
R9,Translating between Horn Representations and their Characteristic Models,0,ALL,0.8993794790491662,-241.88988111923842
R10,A Formal Framework for Speedup Learning from Problems and Solutions,0,ALL,0.8968757821946931,-170.73885078125554
R11,Cue Phrase Classification Using Machine Learning,0,ALL,0.8874554931864141,-233.50249688632593
R12,MUSE CSP: An Extension to the Constraint Satisfaction Problem,0,ALL,0.8762671699497764,-287.5489898761742
R13,Exploiting Causal Independence in Bayesian Network Inference,0,ALL,0.8558109629162575,-266.3756726467898
R14,Flaw Selection Strategies for Partial-Order Planning,0,ALL,0.9035009707742889,-213.91586476391376
R15,Cached Sufficient Statistics for Efficient Machine Learning with Large Datasets,0,ALL,0.8811382393030873,-293.46590402194545
R16,Model-Based Diagnosis using Structured System Descriptions,0,ALL,0.9024509295306845,-251.57222984594978
R17,A reusable iterative optimization software library to solve combinatorial problems with approximate reasoning,0,ALL,0.8796857120037349,-172.39766392235234
R18,Iterative Deepening Branch and Bound,0,ALL,0.8830063974442016,-126.6904963931915
R19,On the accuracy and running time of GSAT,0,ALL,0.8852008221935033,-262.2288468128313
R20,ACLP: Integrating Abduction and Constraint Solving,0,ALL,0.8862223740843204,-260.5874225687159
R21,Probabilistic Default Reasoning with Conditional Constraints,0,ALL,0.8758458487331636,-152.35227981739197
R22,Planning with Incomplete Information,0,ALL,0.859921183865086,-227.80870287118012
R23,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,0,ALL,0.7480519327710919,-153.9052837327371
R24,DATALOG with constraints - an answer-set programming system,0,ALL,0.8266392927969488,-335.85929663565605
R25,Brainstorm/J: a Java Framework for Intelligent Agents,0,ALL,0.8487808392902204,-168.2600835376018
R26,Searching for Plannable Domains can Speed up Reinforcement Learning,0,ALL,0.8838262619073683,-200.95906301925757
R27,A Framework for Searching AND/OR Graphs with Cycles,0,ALL,0.9005093398140688,-204.91986626740558
R28,Pruning Isomorphic Structural Sub-problems in Configuration,0,ALL,0.8674887913936845,-212.61148590203024
R29,"Probabilistic Reasoning as Information Compression by Multiple Alignment, Unification and Search: An Introduction and Overview",0,ALL,0.9043687289689806,-229.52022428758187
R30,Parametric Connectives in Disjunctive Logic Programming,0,ALL,0.8874373045407015,-230.47453776970298
R31,Logic-Based Specification Languages for Intelligent Software Agents,0,ALL,0.8833900440763605,-194.45757166956398
R32,Modeling Object Oriented Constraint Programs in Z,0,ALL,0.8699046217467561,-231.89816057747208
R33,Data Mining Approach for Analyzing Call Center Performance,0,ALL,0.8929538509012496,-184.37061728014322
R34,A Concurrent Fuzzy-Neural Network Approach for Decision Support Systems,0,ALL,0.8664198198845086,-131.0131647947073
R35,Business Intelligence from Web Usage Mining,0,ALL,0.8371497345206277,-338.66720550622153
R36,Regression with respect to sensing actions and partial states,0,ALL,0.8734862040366655,-254.05823720365152
R37,Decomposition Based Search - A theoretical and experimental evaluation,0,ALL,0.8735494621758301,-195.9057073084267
R38,Proportional Conflict Redistribution Rules for Information Fusion,0,ALL,0.8662791347655685,-227.78429235820948
R39,Planning with Preferences using Logic Programming,0,ALL,0.8459523937062383,-142.83952070055594
R40,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,0,ALL,0.8000304485172421,-145.4489425513527
R41,"An efficient memetic, permutation-based evolutionary algorithm for real-world train timetabling",0,ALL,0.9025637661210597,-206.14872286661492
R42,Evolution of Voronoi based Fuzzy Recurrent Controllers,0,ALL,0.7780879397698638,-333.6505938061705
R43,Processing Uncertainty and Indeterminacy in Information Systems success mapping,0,ALL,0.8952243967633488,-126.3171825317093
R44,Truecluster: robust scalable clustering with model selection,0,ALL,0.828768008211138,-167.00361005779294
R45,Divide-and-Evolve: a New Memetic Scheme for Domain-Independent Temporal Planning,0,ALL,0.8336259380444687,-195.74320991616426
R46,Approximation Algorithms for K-Modes Clustering,0,ALL,0.8491020113341305,-179.31136166359735
R47,Retraction and Generalized Extension of Computing with Words,0,ALL,0.839137081836204,-295.916267201043
R48,Fusion of qualitative beliefs using DSmT,0,ALL,0.8723932461455037,-142.66102328731563
R49,Decentralized Failure Diagnosis of Stochastic Discrete Event Systems,0,ALL,0.8657774643556975,-294.834771310638
R50,Structure and Problem Hardness: Goal Asymmetry and DPLL Proofs in<br> SAT-Based Planning,0,ALL,0.8670188112491505,-390.3951416330408
R51,Case Base Mining for Adaptation Knowledge Acquisition,0,ALL,0.8335202339265697,-183.3641884130669
R52,Fuzzy Artmap and Neural Network Approach to Online Processing of Inputs with Missing Values,0,ALL,0.8352848163129749,-215.40618945304598
R53,On-Line Condition Monitoring using Computational Intelligence,0,ALL,0.9018719201224055,-190.0989955753403
R54,The Road to Quantum Artificial Intelligence,0,ALL,0.7225238530818427,-178.95043056406288
R55,Qualitative Belief Conditioning Rules (QBCR),0,ALL,0.779289728258761,-178.7709409117373
R56,Fitness landscape of the cellular automata majority problem: View from the Olympus,0,ALL,0.8993790351117693,-353.4811952512732
R57,Lagrangian Relaxation for MAP Estimation in Graphical Models,0,ALL,0.8996217424196321,-270.8796075043006
R58,Decomposition During Search for Propagation-Based Constraint Solvers,0,ALL,0.8776985022066055,-151.10715774586345
R59,Bin Packing Under Multiple Objectives - a Heuristic Approximation Approach,0,ALL,0.8045511631654756,-206.37519197790914
R60,Extended ASP tableaux and rule redundancy in normal logic programs,0,ALL,0.7933964931789169,-292.5163114771924
R61,Classification dynamique d'un flux documentaire : une évaluation statique préalable de l'algorithme GERMEN,0,ALL,0.8944488802252544,-204.3089274442785
R62,Learning DTW Global Constraint for Time Series Classification,0,ALL,0.7872632912182912,-275.30074663308176
R63,A Novel Two-Stage Dynamic Decision Support based Optimal Threat Evaluation and Defensive Resource Scheduling Algorithm for Multi Air-borne threats,0,ALL,0.8877005671854726,-223.8431268365351
R64,Reasoning about Cardinal Directions between Extended Objects,0,ALL,0.9040616893355705,-171.87691257232103
R65,A Local Search Modeling for Constrained Optimum Paths Problems (Extended Abstract),0,ALL,0.8106023065407878,-149.48538981303665
R66,Finite element model selection using Particle Swarm Optimization,0,ALL,0.8055478950154593,-302.3962193927064
R67,$α$-Discounting Multi-Criteria Decision Making ($α$-D MCDM),0,ALL,0.8810179457731793,-331.1003643230597
R68,Model-Driven Constraint Programming,0,ALL,0.8713682130730722,-158.90307367557133
R69,A new model for solution of complex distributed constrained problems,0,ALL,0.8650746000298765,-204.65402602700956
R70,Terrorism Event Classification Using Fuzzy Inference Systems,0,ALL,0.7906411624343125,-328.17709245732465
R71,Online Cake Cutting,0,ALL,0.8741252752224143,-132.57357291170442
R72,Logic-Based Decision Support for Strategic Environmental Assessment,0,ALL,0.8936430032816896,-243.37676078297966
R73,AI 3D Cybug Gaming,0,ALL,0.8611962390957039,-102.45805594057916
R74,General Scaled Support Vector Machines,0,ALL,0.8769226231247176,-166.25535041161004
R75,Introduction to the iDian,0,ALL,0.8994157881049784,-150.75738454968766
R76,Prunnig Algorithm of Generation a Minimal Set of Rule Reducts Based on Rough Set Theory,0,ALL,0.8763255643467115,-119.18405441325011
R77,Significance of Classification Techniques in Prediction of Learning Disabilities,0,ALL,0.8725775773536038,-235.9137517388997
R78,URSA: A System for Uniform Reduction to SAT,0,ALL,0.800421088572407,-255.1307093505131
