id,title,year,field,B3_topic_pair_rarity
R0,An Empirical Analysis of Search in GSAT,0,ALL,-0.023410579805971894
R1,Substructure Discovery Using Minimum Description Length and Background Knowledge,0,ALL,-0.005209409215154552
R2,Bias-Driven Revision of Logical Domain Theories,0,ALL,-0.005209409215154552
R3,Wrap-Up: a Trainable Discourse Module for Information Extraction,0,ALL,-0.005209409215154552
R4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm,0,ALL,-0.005209409215154552
R5,FLECS: Planning with a Flexible Commitment Strategy,0,ALL,-0.005209409215154552
R6,Induction of First-Order Decision Lists: Results on Learning the Past Tense of English Verbs,0,ALL,-0.005209409215154552
R7,Building and Refining Abstract Planning Cases by Change of Representation Language,0,ALL,-0.005209409215154552
R8,OPUS: An Efficient Admissible Algorithm for Unordered Search,0,ALL,-0.005209409215154552
R9,Translating between Horn Representations and their Characteristic Models,0,ALL,-0.1426694974843631
R10,A Formal Framework for Speedup Learning from Problems and Solutions,0,ALL,-0.005209409215154552
R11,Cue Phrase Classification Using Machine Learning,0,ALL,-0.005209409215154552
R12,MUSE CSP: An Extension to the Constraint Satisfaction Problem,0,ALL,-0.005209409215154552
R13,Exploiting Causal Independence in Bayesian Network Inference,0,ALL,0.15755135746120283
R14,Flaw Selection Strategies for Partial-Order Planning,0,ALL,-0.005209409215154552
R15,Cached Sufficient Statistics for Efficient Machine Learning with Large Datasets,0,ALL,-0.005209409215154552
R16,Model-Based Diagnosis using Structured System Descriptions,0,ALL,-0.005209409215154552
R17,A reusable iterative optimization software library to solve combinatorial problems with approximate reasoning,0,ALL,-0.011198121774458435
R18,Iterative Deepening Branch and Bound,0,ALL,0.04596029206440091
R19,On the accuracy and running time of GSAT,0,ALL,-0.023410579805971894
R20,ACLP: Integrating Abduction and Constraint Solving,0,ALL,-0.005209409215154552
R21,Probabilistic Default Reasoning with Conditional Constraints,0,ALL,-0.005209409215154552
R22,Planning with Incomplete Information,0,ALL,21.3020306599988
R23,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,0,ALL,-0.005209409215154552
R24,DATALOG with constraints - an answer-set programming system,0,ALL,-0.005209409215154552
R25,Brainstorm/J: a Java Framework for Intelligent Agents,0,ALL,-0.005209409215154552
R26,Searching for Plannable Domains can Speed up Reinforcement Learning,0,ALL,-0.005209409215154552
R27,A Framework for Searching AND/OR Graphs with Cycles,0,ALL,0.10876119329415197
R28,Pruning Isomorphic Structural Sub-problems in Configuration,0,ALL,-0.005209409215154552
R29,"Probabilistic Reasoning as Information Compression by Multiple Alignment, Unification and Search: An Introduction and Overview",0,ALL,-0.005209409215154552
R30,Parametric Connectives in Disjunctive Logic Programming,0,ALL,-0.005209409215154552
R31,Logic-Based Specification Languages for Intelligent Software Agents,0,ALL,-0.005209409215154552
R32,Modeling Object Oriented Constraint Programs in Z,0,ALL,-0.005209409215154552
R33,Data Mining Approach for Analyzing Call Center Performance,0,ALL,-0.011198121774458435
R34,A Concurrent Fuzzy-Neural Network Approach for Decision Support Systems,0,ALL,-0.005209409215154552
R35,Business Intelligence from Web Usage Mining,0,ALL,-0.005209409215154552
R36,Regression with respect to sensing actions and partial states,0,ALL,-0.14886146771261538
R37,Decomposition Based Search - A theoretical and experimental evaluation,0,ALL,-0.005209409215154552
R38,Proportional Conflict Redistribution Rules for Information Fusion,0,ALL,-0.005209409215154552
R39,Planning with Preferences using Logic Programming,0,ALL,0.11684169798802298
R40,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,0,ALL,0.027587903261707573
R41,"An efficient memetic, permutation-based evolutionary algorithm for real-world train timetabling",0,ALL,0.10876119329415197
R42,Evolution of Voronoi based Fuzzy Recurrent Controllers,0,ALL,-0.005209409215154552
R43,Processing Uncertainty and Indeterminacy in Information Systems success mapping,0,ALL,-0.005209409215154552
R44,Truecluster: robust scalable clustering with model selection,0,ALL,0.027587903261707573
R45,Divide-and-Evolve: a New Memetic Scheme for Domain-Independent Temporal Planning,0,ALL,-0.005209409215154552
R46,Approximation Algorithms for K-Modes Clustering,0,ALL,0.027587903261707573
R47,Retraction and Generalized Extension of Computing with Words,0,ALL,-0.005209409215154552
R48,Fusion of qualitative beliefs using DSmT,0,ALL,-0.005209409215154552
R49,Decentralized Failure Diagnosis of Stochastic Discrete Event Systems,0,ALL,-0.005209409215154552
R50,Structure and Problem Hardness: Goal Asymmetry and DPLL Proofs in<br> SAT-Based Planning,0,ALL,-0.005209409215154552
R51,Case Base Mining for Adaptation Knowledge Acquisition,0,ALL,-0.005209409215154552
R52,Fuzzy Artmap and Neural Network Approach to Online Processing of Inputs with Missing Values,0,ALL,-0.005209409215154552
R53,On-Line Condition Monitoring using Computational Intelligence,0,ALL,-0.005209409215154552
R54,The Road to Quantum Artificial Intelligence,0,ALL,-0.005209409215154552
R55,Qualitative Belief Conditioning Rules (QBCR),0,ALL,-0.11438235800755774
R56,Fitness landscape of the cellular automata majority problem: View from the Olympus,0,ALL,-0.005209409215154552
