new_id,old_id,S_new,S_old,delta
R0,H659,-0.0191269461519307,-0.7440989180473548,0.7249719718954242
R1,H785,-0.1173110603537202,-0.0895370951662462,-0.027773965187474006
R2,H1582,-0.2718990423520518,-0.8243619120085826,0.5524628696565308
R3,H39,-0.0391316395350712,-0.7750721120034375,0.7359404724683664
R4,H1627,-0.0725040661205366,-0.6964287216196052,0.6239246554990686
R5,H1246,-0.0008089969661293,-0.7524396784199059,0.7516306814537765
R6,H481,-0.112105396798384,-0.5798149300878842,0.4677095332895002
R7,H1534,-0.1668835098575909,-0.0315967464872045,-0.1352867633703864
R8,H2000,-0.0243291765488817,-0.7781803013714494,0.7538511248225678
R9,H498,-0.1587926646169959,-0.1943881091561905,0.03559544453919461
R10,H1188,-0.1617981995423057,-0.6731959970723637,0.511397797530058
R11,H2032,-0.0393487821827028,-0.8247707101633647,0.7854219279806619
R12,H868,-0.2594541324720146,-0.6075249464521343,0.3480708139801197
R13,H1769,-0.008147841857334,-0.6292711328950682,0.6211232910377342
R14,H1976,-0.1127490034410513,-0.1338953432930379,0.021146339851986606
R15,H546,-0.1384142445677981,-0.6525471146618581,0.51413287009406
R16,H1401,-0.1944001119319567,-0.2595043493498953,0.06510423741793861
R17,H1525,-0.1873192700753863,-0.0623880674687438,-0.12493120260664249
R18,H141,-0.1179317276588345,-0.7101922047272234,0.5922604770683889
R19,H1275,-0.0581448836856381,-0.6817005005547631,0.623555616869125
R20,H330,-0.0434014497376575,-0.549049241298489,0.5056477915608315
R21,H1001,-0.2023102306068556,-0.7889404204267043,0.5866301898198487
R22,H1989,-0.1367534488788437,-0.1496932727432889,0.012939823864445199
R23,H1717,-0.0711570381438355,-0.0625454456085183,-0.008611592535317208
R24,H1744,-0.0506873626846851,-0.1885396978647027,0.1378523351800176
R25,H1739,-0.1194970815214747,-0.5254065577861022,0.40590947626462753
R26,H1652,-0.0168599772988033,-0.5391108848698699,0.5222509075710666
R27,H83,-0.1425186133969373,-0.5733791760037465,0.43086056260680927
R28,H326,-0.137739411693638,-0.2014807059201053,0.06374129422646732
R29,H1507,-0.2179690454688281,-0.7253669622952741,0.507397916826446
R30,H623,-0.1801584555381828,-0.3980968769321689,0.2179384213939861
R31,H386,-0.0943934528354597,-0.0126649272507419,-0.0817285255847178
R32,H1535,-0.020419573633851,-0.2746201877290526,0.2542006140952016
R33,H548,-0.1950849010888269,-0.8226901505305346,0.6276052494417077
R34,H891,-0.0605695944832012,-0.7869560807092933,0.7263864862260921
R35,H1904,-0.0931681966628758,-0.4487220883456506,0.3555538916827748
R36,H1463,-0.062309565855597,-0.7714350907182661,0.7091255248626691
R37,H1525,-0.1508689063756016,-0.0623880674687438,-0.0884808389068578
R38,H321,-0.0026858909252907,-0.7034218987715388,0.7007360078462481
R39,H998,-0.0009499391919232,-0.3966755294396428,0.3957255902477196
R40,H2021,-0.0016942392092786,-0.0130360188220852,0.0113417796128066
R41,H953,-0.1898925059628698,-0.4927132474958199,0.30282074153295013
R42,H822,-0.0966549694113958,-0.0816566350809995,-0.014998334330396296
R43,H1775,-0.1200618354103015,-0.8356594051573991,0.7155975697470977
R44,H977,-0.0019092603681676,-0.7823919051322676,0.7804826447641
R45,H733,-0.0841018512078337,-0.064619552248633,-0.0194822989592007
R46,H1719,-0.0262198441360299,-0.3852268808603299,0.3590070367243
R47,H586,-0.1431646883033215,-0.3199095533656352,0.1767448650623137
R48,H1867,-0.0896023271596427,-0.82160273158473,0.7320004044250873
R49,H283,-0.1351787657383552,-0.5977636098293124,0.46258484409095724
R50,H1284,-0.0058559306349133,-0.2657361351682824,0.2598802045333691
R51,H370,-0.0600020193224518,-0.8205584487816092,0.7605564294591575
R52,H347,-0.0449529625009279,-0.7591684780708217,0.7142155155698937
R53,H1053,-0.1601757868933774,-0.3299074844010337,0.1697316975076563
R54,H1371,-0.0635782786780615,-0.5452424206506513,0.48166414197258983
R55,H689,-0.0982424507602964,-0.7605499226925302,0.6623074719322338
R56,H1922,-0.1386079511926062,-0.8172588296678479,0.6786508784752417
R57,H343,-0.1661649143049609,-0.4845375751882708,0.3183726608833099
R58,H1667,-0.1998554764871714,-0.1406780627572902,-0.059177413729881195
R59,H787,-0.0045940674487058,-0.5851409468051405,0.5805468793564347
R60,H1872,-0.0286980800508684,-0.6375941665511512,0.6088960865002828
R61,H756,-0.10177101995495,-0.1096584296934119,0.0078874097384619
R62,H655,-0.0036271800734246,-0.6499294078364668,0.6463022277630422
R63,H1801,-0.1087212132999876,-0.6340060706487514,0.5252848573487637
R64,H1988,-0.003696233671039,-0.5382485259337083,0.5345522922626693
R65,H783,-0.2126046392628905,-0.0793761569106335,-0.13322848235225698
R66,H495,-0.077962314372255,-0.001992078809274,-0.07597023556298099
R67,H1907,-0.1182363974577206,-0.7245113000190417,0.6062749025613211
R68,H2129,-0.0788475102600055,-0.3237820638054136,0.24493455354540808
R69,H1126,-0.1249732409665443,-0.0009373175768796,-0.1240359233896647
R70,H1457,-0.1493040032200175,-0.7953059585886062,0.6460019553685887
R71,H1570,-0.173975628573631,-0.8156921864673286,0.6417165578936975
R72,H93,-0.198544709458826,-0.5696891135333649,0.37114440407453897
R73,H1241,-0.1410964027499487,-0.660987109224433,0.5198907064744843
R74,H782,-0.0067731715819269,-0.7267755785901354,0.7200024070082085
