qid,P@10,nDCG@10,pool_size
R0,0.1,0.11004588314904008,300
R1,0.2,0.18340980524840012,300
R2,0.1,0.09478836436955078,300
R3,0.1,0.09478836436955078,300
R4,0.1,0.09478836436955078,300
R5,0.1,0.09478836436955078,300
R6,0.2,0.16421958630632802,300
R7,0.1,0.09478836436955078,300
R8,0.1,0.09478836436955078,300
R9,0.1,0.09478836436955078,300
R10,0.1,0.09478836436955078,300
R11,0.1,0.11004588314904008,300
R12,0.1,0.09478836436955078,300
R13,0.2,0.16421958630632802,300
R14,0.2,0.18340980524840012,300
R15,0.1,0.11004588314904008,300
R16,0.1,0.09478836436955078,300
R17,0.2,0.18340980524840012,300
R18,0.1,0.09478836436955078,300
R19,0.2,0.16421958630632802,300
R20,0.1,0.09478836436955078,300
R21,0.2,0.1681522864689108,300
R22,0.1,0.11004588314904008,300
R23,0.2,0.16421958630632802,300
R24,0.1,0.09478836436955078,300
R25,0.2,0.18340980524840012,300
R26,0.2,0.16421958630632802,300
R27,0.2,0.16421958630632802,300
R28,0.2,0.1681522864689108,300
R29,0.2,0.18340980524840012,300
R30,0.1,0.09478836436955078,300
R31,0.2,0.21726071285222986,300
R32,0.1,0.11004588314904008,300
R33,0.2,0.16421958630632802,300
R34,0.2,0.16421958630632802,300
R35,0.2,0.16421958630632802,300
R36,0.1,0.09478836436955078,300
R37,0.2,0.18340980524840012,300
R38,0.1,0.09478836436955078,300
R39,0.2,0.1610425878239398,300
R40,0.2,0.16421958630632802,300
R41,0.2,0.16421958630632802,300
R42,0.2,0.16421958630632802,300
R43,0.2,0.16421958630632802,300
R44,0.2,0.16421958630632802,300
R45,0.2,0.16421958630632802,300
R46,0.2,0.16421958630632802,300
R47,0.1,0.09478836436955078,300
R48,0.2,0.16421958630632802,300
R49,0.1,0.09478836436955078,300
R50,0.1,0.09478836436955078,300
R51,0.2,0.16421958630632802,300
R52,0.2,0.16421958630632802,300
R53,0.2,0.16421958630632802,300
R54,0.2,0.16421958630632802,300
R55,0.1,0.09478836436955078,300
R56,0.1,0.09478836436955078,300
R57,0.1,0.09478836436955078,300
R58,0.2,0.1681522864689108,300
R59,0.1,0.09478836436955078,300
R60,0.1,0.09478836436955078,300
R61,0.2,0.16421958630632802,300
R62,0.1,0.09478836436955078,300
R63,0.2,0.18340980524840012,300
R64,0.3,0.2781981696179509,300
R65,0.2,0.1681522864689108,300
R66,0.1,0.09478836436955078,300
R67,0.1,0.09478836436955078,300
R68,0.1,0.11004588314904008,300
R69,0.2,0.1681522864689108,300
R70,0.2,0.16421958630632802,300
R71,0.1,0.09478836436955078,300
R72,0.2,0.16421958630632802,300
R73,0.2,0.16421958630632802,300
R74,0.1,0.09478836436955078,300
R75,0.1,0.11004588314904008,300
R76,0.2,0.18340980524840012,300
R77,0.2,0.18340980524840012,300
R78,0.2,0.1681522864689108,300
R79,0.2,0.16421958630632802,300
R80,0.2,0.16421958630632802,300
R81,0.2,0.16421958630632802,300
R82,0.1,0.11004588314904008,300
R83,0.1,0.13886244387355454,300
R84,0.1,0.11004588314904008,300
R85,0.2,0.1681522864689108,300
R86,0.1,0.09478836436955078,300
R87,0.3,0.23047380976071707,300
R88,0.1,0.09478836436955078,300
R89,0.2,0.16421958630632802,300
