id,title,year,field,split,s_m,s_t,s_mt,s_mn,s_tn,s_mtn,S
H0,A Meta-Learning Algorithm for Interrogative Agendas,0,ALL,historical,0.7195051771643302,0.909599855541715,-8.547000366448293,0.7573319491257591,0.9426201744422947,0.15780967686055294,1.7544858910058254
H1,Contrast with Major Classifier Vectors for Federated Medical Relation Extraction with Heterogeneous Label Distribution,0,ALL,historical,0.5722152907373875,0.8953745761733105,-9.645607694612941,0.602298545177435,0.9278784885921469,5.103302911388794e-16,1.2241416270156669
H2,Counterexample Guided Abstraction Refinement with Non-Refined Abstractions for Multi-Agent Path Finding,0,ALL,historical,0.30231407759155304,0.8998795923159013,-9.243251307275758,0.31820773066970703,0.9325470459542908,0.0577965664716053,1.1450952374782115
H3,NeSIG: A Neuro-Symbolic Method for Learning to Generate Planning Problems,0,ALL,historical,0.6673975696184892,0.8420665782946176,-9.645607694612941,0.7024848719407135,0.8726353023125527,5.103302911388794e-16,1.2600961394026142
H4,Generalized Planning as Heuristic Search: A new planning search-space that leverages pointers over objects,0,ALL,historical,0.5515361341606055,0.8524123044139806,-9.096306701559147,0.5805322167984048,0.8833565992652201,0.07890445474983114,1.368372189725478
H5,Context Matters: A Strategy to Pre-train Language Model for Science Education,0,ALL,historical,0.7830106678675961,0.7504470375187692,-6.307751789390274,0.8241761339640672,0.7776897864549015,0.47946700181789875,2.480160240879922
H6,HeroNet: A Hybrid Retrieval-Generation Network for Conversational Bots,0,ALL,historical,0.8860035740626734,0.47137157795713225,-8.605893684839248,0.9325837186075195,0.4884833219069424,0.14934993396037682,1.5102284673125117
H7,BERT-based Authorship Attribution on the Romanian Dataset called ROST,0,ALL,historical,0.777763197208876,0.792218181225686,-9.645607694612941,0.8186527863800913,0.8209773073661912,5.103302911388794e-16,1.3117040749970275
H8,Purposeful and Operation-based Cognitive System for AGI,0,ALL,historical,0.8058512554445691,0.9188576448683385,-9.645607694612941,0.8482175269350254,0.9522140402909374,5.103302911388794e-16,1.4403452537807717
H9,"Multimodality Representation Learning: A Survey on Evolution, Pretraining and Its Applications",0,ALL,historical,0.739858313078767,0.7713900657184262,-9.261845830527564,0.77875511685563,0.7993930890386003,0.055125552333509326,1.4003324455491577
