id,title,year,field,split,s_m,s_t,s_mt,s_mn,s_tn,s_mtn,S
R0,An Empirical Analysis of Search in GSAT,0,ALL,recent,0.453525735129772,0.0,-20.72326583694641,0.5330336967906669,2.5631257517603564e-16,3.207098136765695e-16,0.42642695743253456
R1,Substructure Discovery Using Minimum Description Length and Background Knowledge,0,ALL,recent,0.6196774313756143,0.6217976422207566,-20.72326583694641,0.7283135806380948,0.7177591861319887,3.207098136765695e-16,1.1568582134160676
R2,Bias-Driven Revision of Logical Domain Theories,0,ALL,recent,0.8108094522048328,0.8218548043996871,-20.72326583694641,0.9529531098778571,0.948691013715929,3.207098136765695e-16,1.5213152988750298
R3,Wrap-Up: a Trainable Discourse Module for Information Extraction,0,ALL,recent,0.5254481357595471,0.6096872612148356,-14.379723991105308,0.6175648713639876,0.703779819495098,0.28632143023077905,1.7728793282642163
R4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm,0,ALL,recent,0.7013537300032906,0.5190346396686115,-12.968905137312982,0.8243086169180787,0.5991368497511755,0.3500000000000002,2.013756373335404
R5,FLECS: Planning with a Flexible Commitment Strategy,0,ALL,recent,0.0,0.7201818824179054,-4.539677580932347,2.609714233344349e-16,0.8313269891875184,0.7304607186860277,2.491213388065084
R6,Induction of First-Order Decision Lists: Results on Learning the Past Tense of English Verbs,0,ALL,recent,0.5060364182219064,0.7921166530106367,-20.72326583694641,0.5947500700006557,0.9143633966766599,3.207098136765695e-16,1.2072907733418534
R7,Building and Refining Abstract Planning Cases by Change of Representation Language,0,ALL,recent,0.6827556291044385,0.6850663602709403,-20.72326583694641,0.8024500679813479,0.7907921159660835,3.207098136765695e-16,1.274593747157946
R8,OPUS: An Efficient Admissible Algorithm for Unordered Search,0,ALL,recent,0.5251245665802076,0.0,-20.72326583694641,0.6171845770113827,2.5631257517603564e-16,3.207098136765695e-16,0.4937476616091072
R9,Translating between Horn Representations and their Characteristic Models,0,ALL,recent,0.6484343843618705,0.7550520662768023,-20.72326583694641,0.7621119381983632,0.871578661254729,3.207098136765695e-16,1.3069524795624747
R10,A Formal Framework for Speedup Learning from Problems and Solutions,0,ALL,recent,0.7109509231275142,0.6336330270648906,-20.72326583694641,0.8355883016935304,0.7314211166644762,3.207098136765695e-16,1.2536075346864062
R11,Cue Phrase Classification Using Machine Learning,0,ALL,recent,0.5358756894591632,0.6406672465190602,-15.184436765779674,0.6298204878956475,0.7395409217066221,0.25000000000000033,1.7204891276818166
R12,MUSE CSP: An Extension to the Constraint Satisfaction Problem,0,ALL,recent,0.6365302280914762,0.8339128256326921,-18.288013811258203,0.7481208547107493,0.9626099399370922,0.10991727648562535,1.6433778269323367
R13,Exploiting Causal Independence in Bayesian Network Inference,0,ALL,recent,0.1673526161379888,0.0,-20.72326583694641,0.1966913379724673,2.5631257517603564e-16,3.207098136765695e-16,0.15735307037797486
R14,Flaw Selection Strategies for Partial-Order Planning,0,ALL,recent,0.6870840944162074,0.4857068120352671,-20.723265836946418,0.8075373600308324,0.5606655645397663,0.0,1.0945623396564792
R15,Cached Sufficient Statistics for Efficient Machine Learning with Large Datasets,0,ALL,recent,0.6413345066314029,0.686407565822581,-20.723265836946414,0.7537673751883942,0.7923403087217575,1.6035490683828475e-16,1.2368861471281218
R16,Model-Based Diagnosis using Structured System Descriptions,0,ALL,recent,0.6859554923418558,0.8152544929751112,-20.72326583694641,0.8062109018184332,0.941072081390291,3.207098136765695e-16,1.3978263865669804
R17,A reusable iterative optimization software library to solve combinatorial problems with approximate reasoning,0,ALL,recent,0.7602459196535385,0.6261264817276829,-20.72326583694641,0.893525243737252,0.7227560920550966,3.207098136765695e-16,1.29302506863388
R18,Iterative Deepening Branch and Bound,0,ALL,recent,0.6194355902288362,0.6026524235467919,-20.72326583694641,0.7280293421252212,0.6956593008306142,3.207098136765695e-16,1.1389509143646692
R19,On the accuracy and running time of GSAT,0,ALL,recent,0.6818588932654088,0.6162329042442692,-14.491295380413757,0.80139612466061,0.7113356464949193,0.28128555586659026,1.9133993065908992
R20,ACLP: Integrating Abduction and Constraint Solving,0,ALL,recent,0.2147123773497276,0.8046690122657225,-14.491295380413757,0.25235377704131734,0.9288529517203055,0.28128555586659026,1.648179272675774
R21,Probabilistic Default Reasoning with Conditional Constraints,0,ALL,recent,0.3104996392656487,0.7872092444244243,-18.85208292420251,0.3649335809412869,0.9086986315606699,0.08445751298251156,1.2300495524578443
R22,Planning with Incomplete Information,0,ALL,recent,0.5679895418858808,0.748438066404654,-20.72326583694641,0.6675642456391967,0.8639439279541083,3.207098136765695e-16,1.225206538874645
R23,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,0,ALL,recent,0.4560136025387693,0.6110843757318039,-20.72326583694641,0.5359577142375785,0.7053925496030007,3.207098136765695e-16,0.9930802110724642
R24,DATALOG with constraints - an answer-set programming system,0,ALL,recent,0.13049059647906325,0.7387443946743586,-11.934403951077673,0.15336700797751115,0.8527542394456123,0.3966931355410738,1.7966298367911833
R25,Brainstorm/J: a Java Framework for Intelligent Agents,0,ALL,recent,0.6547871327837984,0.5799790584627086,-20.72326583694641,0.7695783920593604,0.6694867730424703,3.207098136765695e-16,1.1512521320814655
R26,Searching for Plannable Domains can Speed up Reinforcement Learning,0,ALL,recent,0.011375143011406186,0.8213576293450672,-15.184436765779676,0.01336932848839881,0.9481171100238941,0.2500000000000002,1.394189150809835
R27,A Framework for Searching AND/OR Graphs with Cycles,0,ALL,recent,0.5383507173537089,0.8108434667329685,-20.72326583694641,0.6327294149224946,0.9359803049173864,3.207098136765695e-16,1.2549677758719058
R28,Pruning Isomorphic Structural Sub-problems in Configuration,0,ALL,recent,0.6969395279297464,0.5937287931405115,-20.72326583694641,0.8191205575261039,0.6853584935215371,3.207098136765695e-16,1.203583240838114
R29,"Probabilistic Reasoning as Information Compression by Multiple Alignment, Unification and Search: An Introduction and Overview",0,ALL,recent,0.7558944885993539,0.7180165568466372,-20.72326583694641,0.8884109598025641,0.8288274906140058,3.207098136765695e-16,1.3737907603332569
R30,Parametric Connectives in Disjunctive Logic Programming,0,ALL,recent,0.598247032429316,0.8593260328934971,-20.72326583694641,0.7031262012035506,0.9919451476026803,3.207098136765695e-16,1.3560570790449855
R31,Logic-Based Specification Languages for Intelligent Software Agents,0,ALL,recent,0.5007174372757399,0.7042587436748797,-20.723265836946414,0.5884986142236579,0.8129464448933295,1.6035490683828475e-16,1.1211560472935904
R32,Modeling Object Oriented Constraint Programs in Z,0,ALL,recent,0.261649503753279,0.840352945850967,-8.33774129505928,0.30751948885358493,0.9700439588728218,0.5590317187418715,2.419630055035804
R33,Data Mining Approach for Analyzing Call Center Performance,0,ALL,recent,0.8087645463522668,0.61368566964821,-20.72326583694641,0.9505497099343672,0.7083952991754523,3.207098136765695e-16,1.3271560072878565
R34,A Concurrent Fuzzy-Neural Network Approach for Decision Support Systems,0,ALL,recent,0.4009539696104525,0.6068138973579462,-20.72326583694641,0.4712455327440189,0.7004630116409927,3.207098136765695e-16,0.9373668355080101
R35,Business Intelligence from Web Usage Mining,0,ALL,recent,0.6088195993232937,0.5174445522461442,-20.72326583694641,0.7155522533093941,0.5973013653801627,3.207098136765695e-16,1.0502828949516463
R36,Regression with respect to sensing actions and partial states,0,ALL,recent,0.5494769812695867,0.7275124517380043,-12.63147170893938,0.645806233120809,0.8397888795386727,0.365230359343014,2.1015519884851206
R37,Decomposition Based Search - A theoretical and experimental evaluation,0,ALL,recent,0.6016029416389965,0.8025481860690161,-20.72326583694641,0.7070704375578956,0.9264048200750347,3.207098136765695e-16,1.3067802061063452
R38,Proportional Conflict Redistribution Rules for Information Fusion,0,ALL,recent,0.30927127868544213,0.225927494831064,-9.645607694612943,0.3634898754790774,0.26079470844505315,0.5000000000000001,1.7494276671393045
R39,Planning with Preferences using Logic Programming,0,ALL,recent,0.0,0.7921441453820555,-4.539677580932347,2.609714233344349e-16,0.914395131924262,0.7304607186860277,2.5576679022544795
R40,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,0,ALL,recent,0.0,0.6111161477157546,-7.343036510100678,2.609714233344349e-16,0.7054292249323906,0.6039286081465608,2.0741649003123146
R41,"An efficient memetic, permutation-based evolutionary algorithm for real-world train timetabling",0,ALL,recent,0.6639766367445294,0.7849387106753538,-20.72326583694641,0.7803789153559255,0.906077688113542,3.207098136765695e-16,1.349165282775575
R42,Evolution of Voronoi based Fuzzy Recurrent Controllers,0,ALL,recent,0.5817237067333101,0.7547326116105337,-15.18443676577968,0.6837061579804289,0.8712099053996117,0.25000000000000006,1.8689328507040326
R43,Processing Uncertainty and Indeterminacy in Information Systems success mapping,0,ALL,recent,0.6501799485528098,0.5643625738054325,-20.72326583694641,0.7641635186525915,0.6514602085192975,3.207098136765695e-16,1.1324989817375122
R44,Truecluster: robust scalable clustering with model selection,0,ALL,recent,0.0,0.7162111070229928,-7.343036510100678,2.609714233344349e-16,0.8267434071308443,0.6039286081465608,2.1712162460710775
R45,Divide-and-Evolve: a New Memetic Scheme for Domain-Independent Temporal Planning,0,ALL,recent,0.46053884843888904,0.6850814957861757,-20.72326583694641,0.5412762846387431,0.79080958733355,3.207098136765695e-16,1.0656686975778356
R46,Approximation Algorithms for K-Modes Clustering,0,ALL,recent,0.12377888101091483,0.7775305482459547,-14.033151173523544,0.14547865626849388,0.8975262297692028,0.3019643040732805,1.5893146690133586
R47,Retraction and Generalized Extension of Computing with Words,0,ALL,recent,0.6823766429299133,0.6110843757318039,-20.72326583694641,0.8020046414355269,0.7053925496030007,3.207098136765695e-16,1.205917752830823
R48,Fusion of qualitative beliefs using DSmT,0,ALL,recent,0.6668862356261716,0.3843839067301007,-20.72326583694641,0.7837985983593959,0.44370557448797865,3.207098136765695e-16,0.9820033382779004
R49,Decentralized Failure Diagnosis of Stochastic Discrete Event Systems,0,ALL,recent,0.6252031291431275,0.6917705409134907,-20.72326583694641,0.7348079929287727,0.7985309475648859,3.207098136765695e-16,1.2266711523949279
R50,Structure and Problem Hardness: Goal Asymmetry and DPLL Proofs in<br> SAT-Based Planning,0,ALL,recent,0.4006092935064022,0.0,-5.178159738867131,0.4708404311947435,2.5631257517603564e-16,0.7016422558967306,2.1307779846976214
R51,Case Base Mining for Adaptation Knowledge Acquisition,0,ALL,recent,0.42266017787045373,0.5923365876483488,-20.72326583694641,0.49675707384504575,0.6837514300443996,3.207098136765695e-16,0.9444068031115571
R52,Fuzzy Artmap and Neural Network Approach to Online Processing of Inputs with Missing Values,0,ALL,recent,0.6049898196800069,0.6954909912988192,-13.059157236445376,0.711051071914317,0.8028255721489878,0.34592639085026966,2.0759172923763183
R53,On-Line Condition Monitoring using Computational Intelligence,0,ALL,recent,0.6530612542942624,0.7096320985028766,-20.72326583694641,0.7675499484226931,0.8191490653702532,3.207098136765695e-16,1.2693592110343581
R54,The Road to Quantum Artificial Intelligence,0,ALL,recent,0.6660206175272806,0.6012362281058526,-14.635135772725882,0.7827812280548668,0.6940245450546643,0.27479319121406337,1.8684275965227835
R55,Qualitative Belief Conditioning Rules (QBCR),0,ALL,recent,0.41586955758623134,0.8318180217071011,-20.72326583694641,0.4887759844531394,0.96019184655969,3.207098136765695e-16,1.1591742648102645
R56,Fitness landscape of the cellular automata majority problem: View from the Olympus,0,ALL,recent,0.6934366897306445,0.6022895057631417,-20.72326583694641,0.8150036339429414,0.6952403742291956,3.207098136765695e-16,1.2081952065377104
R57,Lagrangian Relaxation for MAP Estimation in Graphical Models,0,ALL,recent,0.6701505701043114,0.7362879790421305,-20.72326583694641,0.7876352059423068,0.8499187271096489,3.207098136765695e-16,1.3100431464415656
R58,Decomposition During Search for Propagation-Based Constraint Solvers,0,ALL,recent,0.6740240991994131,0.7975821537785361,-20.72326583694641,0.7921878065408097,0.9206723839043381,3.207098136765695e-16,1.3702881523561192
R59,Bin Packing Under Multiple Objectives - a Heuristic Approximation Approach,0,ALL,recent,0.0,0.7782149754083272,-9.645607694612941,2.609714233344349e-16,0.8983162840403587,0.5000000000000001,1.9686530272322873
R60,Extended ASP tableaux and rule redundancy in normal logic programs,0,ALL,recent,0.13227244077848344,0.7696290505267153,-14.288563470274266,0.15546122883523944,0.8884053000855043,0.29043604180570526,1.5611833276508582
R61,Classification dynamique d'un flux documentaire : une évaluation statique préalable de l'algorithme GERMEN,0,ALL,recent,0.519593462018118,0.7135104759530205,-20.72326583694641,0.6106838100566194,0.823625989779593,3.207098136765695e-16,1.147447839868971
R62,Learning DTW Global Constraint for Time Series Classification,0,ALL,recent,0.0,0.6882201905415427,-8.063085102851018,2.609714233344349e-16,0.7944326743962205,0.5714285714285715,2.064117568088405
R63,A Novel Two-Stage Dynamic Decision Support based Optimal Threat Evaluation and Defensive Resource Scheduling Algorithm for Multi Air-borne threats,0,ALL,recent,0.5367758397795375,0.7225758516213383,-20.72326583694641,0.6308784442932025,0.8340904177861604,3.207098136765695e-16,1.1719750896634913
R64,Reasoning about Cardinal Directions between Extended Objects,0,ALL,recent,0.5728067406936181,0.5535034096103812,-3.1338273335417703,0.6732259514472014,0.6389251580053131,0.7939150259650226,3.0345084524745682
R65,A Local Search Modeling for Constrained Optimum Paths Problems (Extended Abstract),0,ALL,recent,0.6579407727399676,0.8577318804890441,-20.72326583694641,0.7732848991745579,0.9901049709041905,3.207098136765695e-16,1.4107118960629996
R66,Finite element model selection using Particle Swarm Optimization,0,ALL,recent,0.6456358908731463,0.5706496195557289,-15.184436765779676,0.75882283856367,0.6587175291241016,0.2500000000000002,1.759032294150218
R67,$α$-Discounting Multi-Criteria Decision Making ($α$-D MCDM),0,ALL,recent,0.49579243149426844,0.7773765269841506,-20.72326583694641,0.5827102017145817,0.897348438526501,3.207098136765695e-16,1.1840469121928672
R68,Model-Driven Constraint Programming,0,ALL,recent,0.48983495591124726,0.6238140427419914,-20.72326583694641,0.5757083162920283,0.7200867761689477,3.207098136765695e-16,1.0366360739687817
R69,A new model for solution of complex distributed constrained problems,0,ALL,recent,0.5274093149337096,0.8167591172874986,-20.72326583694641,0.619869866437693,0.9428089131962729,3.207098136765695e-16,1.2501430237071738
R70,Terrorism Event Classification Using Fuzzy Inference Systems,0,ALL,recent,0.6192041877746518,0.8217593000191761,-16.79966663828542,0.7277573723205418,0.9485807702190531,0.1770951562256147,1.7838084045957128
R71,Online Cake Cutting,0,ALL,recent,0.6969395279297464,0.7291958814806658,-20.72326583694641,0.8191205575261039,0.8417321116771667,3.207098136765695e-16,1.3286821353626175
R72,Logic-Based Decision Support for Strategic Environmental Assessment,0,ALL,recent,0.8269884011682745,0.572033263446741,-20.72326583694641,0.9719684034062458,0.6603147096948777,3.207098136765695e-16,1.3058264904808998
R73,AI 3D Cybug Gaming,0,ALL,recent,0.6335662585496346,0.7001362856602343,-20.72326583694641,0.7446372692828778,0.8081877711568268,3.207098136765695e-16,1.2422600323517647
R74,General Scaled Support Vector Machines,0,ALL,recent,0.5328289419189638,0.6565220083023124,-7.94975150277802,0.6262396125918994,0.757842536478303,0.5765439847504491,2.548625681132285
R75,Introduction to the iDian,0,ALL,recent,0.5025210379425705,0.795764776504938,-20.72326583694641,0.5906184055750786,0.9185745322171981,3.207098136765695e-16,1.2073543502338224
R76,Prunnig Algorithm of Generation a Minimal Set of Rule Reducts Based on Rough Set Theory,0,ALL,recent,0.6589430734266459,0.8139180930550551,-20.72326583694641,0.7744629140013528,0.9395294359155664,3.207098136765695e-16,1.3711938799335364
R77,Significance of Classification Techniques in Prediction of Learning Disabilities,0,ALL,recent,0.7204534137190142,0.7889773263223363,-20.72326583694641,0.8467566815590223,0.9107395801553406,3.207098136765695e-16,1.4059970093714913
R78,URSA: A System for Uniform Reduction to SAT,0,ALL,recent,0.4024841404559053,0.7440081823417546,-14.033151173523544,0.4730439590719971,0.8588303833477154,0.3019643040732805,1.8204102341189714
R79,SAPFOCS: a metaheuristic based approach to part family formation problems in group technology,0,ALL,recent,0.7404981600603266,0.6955208521526968,-18.507734208479718,0.8703154885151121,0.8028600414050946,0.10000000000000023,1.5885404239361658
R80,Evolving Genes to Balance a Pole,0,ALL,recent,0.5923365876483488,0.800574891280873,-20.72326583694641,0.6961795915908138,0.9241269882452491,3.207098136765695e-16,1.296245263868851
R81,Growing a Tree in the Forest: Constructing Folksonomies by Integrating Structured Metadata,0,ALL,recent,0.5380023729792403,0.7153565393442749,-20.72326583694641,0.6323200020153613,0.8257569546904963,3.207098136765695e-16,1.166461565364687
R82,A general approach to belief change in answer set programming,0,ALL,recent,0.5151420648042385,0.6914379580613305,-17.030713122835255,0.6054520348143195,0.7981470374612138,0.16666666666666688,1.539545924487094
R83,Learning Efficient Disambiguation,0,ALL,recent,0.5980430690614251,0.7755375707938834,-20.723265836946414,0.702886480853468,0.8952256776653559,1.6035490683828475e-16,1.2784897268150597
R84,Resolving Part-of-Speech Ambiguity in the Greek Language Using Learning Techniques,0,ALL,recent,0.850838770344909,0.818951884386343,-20.72326583694641,1.0,0.9453400883268547,3.207098136765695e-16,1.5562720706614848
R85,Implementing Integrity Constraints in an Existing Belief Revision System,0,ALL,recent,0.41586955758623134,0.7129316663010659,-20.72326583694641,0.4887759844531394,0.8229578528866506,3.207098136765695e-16,1.049387069871833
R86,Reasoning with Axioms: Theory and Pratice,0,ALL,recent,0.5773918969310852,0.7430510348841122,-20.72326583694641,0.6786149351151745,0.8577255200713735,3.207098136765695e-16,1.2290723641492391
R87,Semantic Parsing based on Verbal Subcategorization,0,ALL,recent,0.39264617272614577,0.6188336422647518,-6.091942717730888,0.46148128930111737,0.7143377543804641,0.6603978445273402,2.591649846263616
R88,Boosting Applied to Word Sense Disambiguation,0,ALL,recent,0.5858411829238359,0.41450102953341406,-18.507734208479718,0.6885454722360036,0.4784706493035385,0.10000000000000023,1.1836128972316344
R89,Naive Bayes and Exemplar-Based approaches to Word Sense Disambiguation Revisited,0,ALL,recent,0.5858411829238359,0.4709210181695038,-15.011151902367299,0.6885454722360036,0.5435978906684046,0.2578213671692111,1.6302681082465544
R90,Coaxing Confidences from an Old Friend: Probabilistic Classifications from Transformation Rule Lists,0,ALL,recent,0.42411367610401096,0.7284546503679539,-20.72326583694641,0.49846538602382434,0.8408764869464331,3.207098136765695e-16,1.0714734983762069
R91,Stacking classifiers for anti-spam filtering of e-mail,0,ALL,recent,0.6772737115885334,0.6151290005181522,-20.72326583694641,0.7960071110934255,0.7100613781699446,3.207098136765695e-16,1.204854791410697
R92,Propositional satisfiability in answer-set programming,0,ALL,recent,0.7620965879360071,0.5971270064286787,-17.82914123202589,0.8957003541658921,0.689281150409245,0.13062890042889921,1.5945574547323575
R93,aspps --- an implementation of answer-set programming with propositional schemata,0,ALL,recent,0.6920886377550675,0.6587958167376506,-20.72326583694641,0.8134192538905014,0.7604672599914696,3.207098136765695e-16,1.259109211105578
R94,A Logic Programming Approach to Knowledge-State Planning: Semantics and Complexity,0,ALL,recent,0.23687060400139126,0.6916461787537511,-16.568618865924645,0.2783965802420709,0.7983873926902783,0.18752370391106013,1.3302364381235297
R95,Computing Preferred Answer Sets by Meta-Interpretation in Answer Set Programming,0,ALL,recent,0.1838484184052589,0.5854731066893912,-12.307133794274948,0.21607903261240843,0.6758287134359233,0.3798696409717261,1.6632002992679809
R96,"The Mysterious Optimality of Naive Bayes: Estimation of the Probability in the System of ""Classifiers""",0,ALL,recent,0.6687735992516275,0.6031616879472457,-8.952468240963437,0.786016837221138,0.6962471596077723,0.5312854686768435,2.5140248691552367
R97,Robust Global Localization Using Clustered Particle Filtering,0,ALL,recent,0.7239792984065211,0.6466839776567997,-20.72326583694641,0.8509006919290218,0.7464862102560852,3.207098136765695e-16,1.2779095217480867
R98,Relational Association Rules: getting WARMeR,0,ALL,recent,0.7472566524767374,0.6151290005181522,-20.72326583694641,0.8782588176768416,0.7100613781699446,3.207098136765695e-16,1.27065615667743
R99,A Polynomial Translation of Logic Programs with Nested Expressions into Disjunctive Logic Programs: Preliminary Report,0,ALL,recent,0.578942266647087,0.6575065875089139,-20.72326583694641,0.6804371013939553,0.7589790650239706,3.207098136765695e-16,1.1515329331343418
R100,Offline Specialisation in Prolog Using a Hand-Written Compiler Generator,0,ALL,recent,0.7974234088832584,0.7796574044964721,-20.72326583694641,0.9372203485273746,0.8999813220817742,3.207098136765695e-16,1.4697613364873199
R101,Approximate Grammar for Information Extraction,0,ALL,recent,0.2957482408098375,0.7278703808794516,-9.645607694612941,0.34759610294903304,0.8402020476046379,0.5000000000000001,2.200238520442937
R102,Conflict-based Force Aggregation,0,ALL,recent,0.5311016956486208,0.7935073010808055,-13.784838473528122,0.6242095613876708,0.9159686623760849,0.31317211969662473,2.0150728782525666
R103,Bounded LTL Model Checking with Stable Models,0,ALL,recent,0.520656477853273,0.4318517974366928,-20.72326583694641,0.6119331840534392,0.49849914764995223,3.207098136765695e-16,0.888345865362714
R104,"'Computing' as Information Compression by Multiple Alignment, Unification and Search",0,ALL,recent,0.695774306971285,0.7989012135126258,-18.230477654333345,0.8177510607435476,0.9221950130957552,0.11251422234663645,1.6732424149380336
R105,"Syntax, Parsing and Production of Natural Language in a Framework of Information Compression by Multiple Alignment, Unification and Search",0,ALL,recent,0.3519180937135832,0.833790804244372,-17.03071312283526,0.4136131379755114,0.9624690870833269,0.1666666666666667,1.5175324467137374
R106,Learning in Multiagent Systems: An Introduction from a Game-Theoretic Perspective,0,ALL,recent,0.7722188388818281,0.6249788648108874,-20.72326583694641,0.9075971450722559,0.7214313643169075,3.207098136765695e-16,1.3032228075113315
R107,Abduction in Well-Founded Semantics and Generalized Stable Models,0,ALL,recent,0.6632841206776967,0.7861341108168789,-17.953851301363045,0.7795649937400217,0.9074575734241693,0.1250000000000002,1.6621180537313534
R108,Intelligent search strategies based on adaptive Constraint Handling Rules,0,ALL,recent,0.3323408527014813,0.7945294889780852,-14.635135772725883,0.3906037950841834,0.9171486037322552,0.2747931912140633,1.733184897088309
R109,A FP-Tree Based Approach for Mining All Strongly Correlated Pairs without Candidate Generation,0,ALL,recent,0.6689161073891523,0.7682117259133769,-20.72326583694641,0.7861843285749547,0.886769240872862,3.207098136765695e-16,1.3383628555582545
R110,ANTIDS: Self-Organized Ant-based Clustering Model for Intrusion Detection System,0,ALL,recent,0.36481322581410836,0.7191765561759261,-15.328736418275057,0.42876892606365624,0.8301665117327262,0.2434869062286761,1.6158656158087963
R111,Self-Organized Stigmergic Document Maps: Environment as a Mechanism for Context Learning,0,ALL,recent,0.606565302465719,0.6068138973579462,-19.615500022713064,0.7129027538552722,0.7004630116409927,0.05000000000000027,1.2556926123970127
R112,Map Segmentation by Colour Cube Genetic K-Mean Clustering,0,ALL,recent,0.2608424132899003,0.7248242335710016,-14.464859603237175,0.3065709067114577,0.8366857907640001,0.28247875829425667,1.620802253716008
R113,Image Colour Segmentation by Genetic Algorithms,0,ALL,recent,0.3192725869802764,0.7222453055465935,-13.776395044862285,0.37524452118096513,0.8337088587941698,0.31355322139507713,1.751045757467801
R114,A Suffix Tree Approach to Email Filtering,0,ALL,recent,0.8459993012864673,0.6031616879472457,-20.72326583694641,0.9943121197257151,0.6962471596077723,3.207098136765695e-16,1.3524474234667907
R115,Componentwise Least Squares Support Vector Machines,0,ALL,recent,0.31648095296593515,0.6868213050702552,-7.101823406860558,0.37196348356063014,0.7928179000240031,0.6148159771256738,2.468865049681891
R116,A Unified Subspace Outlier Ensemble Framework for Outlier Detection in High Dimensional Spaces,0,ALL,recent,0.5569441085995211,0.7919792054130348,-17.030713122835255,0.6545824285531204,0.9142047368987967,0.16666666666666688,1.6716963990282008
R117,A Fast Greedy Algorithm for Outlier Mining,0,ALL,recent,0.5218596621866785,0.0,-15.184436765779676,0.613347299600757,2.5631257517603564e-16,0.2500000000000002,1.1156778396806064
R118,K-ANMI: A Mutual Information Based Clustering Algorithm for Categorical Data,0,ALL,recent,0.0,0.5903781713438117,-7.343036510100678,2.609714233344349e-16,0.6814907728829607,0.6039286081465608,2.055014138672771
R119,Probabilistic Automata for Computing with Words,0,ALL,recent,0.6745424080958137,0.7020373011032075,-20.72326583694641,0.7927969805870164,0.8103821688266211,3.207098136765695e-16,1.282543319530911
R120,An application-oriented terminology evaluation: the case of back-of-the book indexes,0,ALL,recent,0.681567112380415,0.6068138973579462,-20.72326583694641,0.8010531914338185,0.7004630116409927,3.207098136765695e-16,1.20121296245985
R121,Universal Algorithmic Intelligence: A mathematical top->down approach,0,ALL,recent,0.5501588630566467,0.7677711017802207,-18.507734208479715,0.6466076561527938,0.8862606155617804,0.10000000000000038,1.4762946173716602
R122,Multimodal Meaning Representation for Generic Dialogue Systems Architectures,0,ALL,recent,0.5989205692646906,0.818948722583564,-20.72326583694641,0.7039178163236534,0.9453364385655252,3.207098136765695e-16,1.3194034039113438
R123,Improving ecological niche models by data mining large environmental datasets for surrogate models,0,ALL,recent,0.7602786471486432,0.7624639232108922,-20.72326583694641,0.8935637087158653,0.8801343842737789,3.207098136765695e-16,1.4189584743917165
R124,Introduction to Arabic Speech Recognition Using CMUSphinx System,0,ALL,recent,0.47777677799101437,0.0,-18.18584909860997,0.5615362094951734,2.5631257517603564e-16,0.11452857209231174,0.7355503978269182
R125,Arabic Speech Recognition System using CMU-Sphinx4,0,ALL,recent,0.4371168414535378,0.6908123375866135,-17.55149491402586,0.5137481467568075,0.7974248654678359,0.14316071511538966,1.4068401975681888
R126,Clustering with Lattices in the Analysis of Graph Patterns,0,ALL,recent,0.612625193174145,0.7202734085636208,-20.72326583694641,0.7200250088812972,0.8314326404917334,3.207098136765695e-16,1.2411661194984254
R127,Multi-Dimensional Recurrent Neural Networks,0,ALL,recent,0.37881849527716294,0.7132111219215796,-17.030713122835255,0.44522947058888657,0.8232804366745587,0.16666666666666688,1.4314745924774235
R128,Condition Monitoring of HV Bushings in the Presence of Missing Data Using Evolutionary Computing,0,ALL,recent,0.426987847885238,0.6719585326147409,-6.33147408003866,0.5018434311733913,0.7756613675173272,0.6495863824281264,2.6459697950228906
R129,On complexity of optimized crossover for binary representations,0,ALL,recent,0.756403052865747,0.7821058708599311,-20.72326583694641,0.8890086808798334,0.9028076583445352,3.207098136765695e-16,1.433453071379496
